Registry,Country,ASN,Value,Date,Status
ripencc,SA,3311,1,20151109,allocated
ripencc,SA,8895,1,19980721,allocated
ripencc,SA,12524,1,19990701,allocated
ripencc,SA,12529,1,20090729,allocated
ripencc,SA,15505,1,20110323,allocated
ripencc,SA,20759,1,20010521,allocated
ripencc,SA,21002,1,20150727,allocated
ripencc,SA,24731,1,20020306,allocated
ripencc,SA,25019,1,20020625,allocated
ripencc,SA,25233,1,20020909,allocated
ripencc,SA,28938,1,20030414,allocated
ripencc,SA,29160,1,20030618,allocated
ripencc,SA,29255,1,20030710,allocated
ripencc,SA,29684,1,20031111,allocated
ripencc,SA,29690,1,20031113,allocated
ripencc,SA,30815,1,20091008,allocated
ripencc,SA,30857,1,20060221,allocated
ripencc,SA,31177,1,20040316,allocated
ripencc,SA,31416,1,20040511,allocated
ripencc,SA,31699,1,20040719,allocated
ripencc,SA,34397,1,20050110,allocated
ripencc,SA,34400,1,20050111,allocated
ripencc,SA,34426,1,20050117,allocated
ripencc,SA,35338,1,20050719,allocated
ripencc,SA,35427,1,20190221,allocated
ripencc,SA,35629,1,20190125,allocated
ripencc,SA,35681,1,20190121,allocated
ripencc,SA,35753,1,20051019,allocated
ripencc,SA,35819,1,20051107,allocated
ripencc,SA,39064,1,20181025,allocated
ripencc,SA,39228,1,20060112,allocated
ripencc,SA,39358,1,20060207,allocated
ripencc,SA,39370,1,20060209,allocated
ripencc,SA,39386,1,20060213,allocated
ripencc,SA,39891,1,20060510,allocated
ripencc,SA,41054,1,20150122,allocated
ripencc,SA,41132,1,20060619,allocated
ripencc,SA,41176,1,20060626,allocated
ripencc,SA,41215,1,20110519,allocated
ripencc,SA,41426,1,20060817,allocated
ripencc,SA,41594,1,20060921,allocated
ripencc,SA,41659,1,20171115,allocated
ripencc,SA,41739,1,20100705,allocated
ripencc,SA,41810,1,20061030,allocated
ripencc,SA,42028,1,20110429,allocated
ripencc,SA,42067,1,20061213,allocated
ripencc,SA,42182,1,20070109,allocated
ripencc,SA,42333,1,20170512,allocated
ripencc,SA,42411,1,20170509,allocated
ripencc,SA,42428,1,20070220,allocated
ripencc,SA,42591,1,20070319,allocated
ripencc,SA,42684,1,20070402,allocated
ripencc,SA,42769,1,20070413,allocated
ripencc,SA,42838,1,20070425,allocated
ripencc,SA,42943,1,20070511,allocated
ripencc,SA,43316,1,20070712,allocated
ripencc,SA,43334,1,20200117,allocated
ripencc,SA,43378,1,20110112,allocated
ripencc,SA,43706,1,20070917,allocated
ripencc,SA,43766,1,20070925,allocated
ripencc,SA,43775,1,20070926,allocated
ripencc,SA,43977,1,20161208,allocated
ripencc,SA,43987,1,20150213,allocated
ripencc,SA,44138,1,20071123,allocated
ripencc,SA,44465,1,20080124,allocated
ripencc,SA,44577,1,20160504,allocated
ripencc,SA,44623,1,20080214,allocated
ripencc,SA,44689,1,20080225,allocated
ripencc,SA,47146,1,20080505,allocated
ripencc,SA,47327,1,20080603,allocated
ripencc,SA,47344,1,20180419,allocated
