Registry,Country,ASN,Value,Date,Status
afrinic,SD,15706,1,20070919,allocated
afrinic,SD,33788,1,20100216,allocated
afrinic,SD,36972,1,20090113,allocated
afrinic,SD,36998,1,20071228,allocated
afrinic,SD,37197,1,20100407,allocated
afrinic,SD,37211,1,20150908,allocated
afrinic,SD,37256,1,20100909,allocated
afrinic,SD,327881,1,20150511,allocated
afrinic,SD,328381,1,20181010,allocated
afrinic,SD,328421,1,20190118,allocated
afrinic,SD,328824,1,20210329,allocated
afrinic,SD,328936,1,20210915,allocated
afrinic,SD,329344,1,20231017,allocated
