Registry,Country,ASN,Value,Date,Status
ripencc,SE,918,1,20220613,allocated
ripencc,SE,1299,1,19930901,allocated
ripencc,SE,1729,1,19930901,allocated
ripencc,SE,1755,1,19930901,allocated
ripencc,SE,1833,1,19930901,allocated
ripencc,SE,1878,1,19930901,allocated
ripencc,SE,1879,1,19930901,allocated
ripencc,SE,1880,1,19930901,allocated
ripencc,SE,1881,1,19930901,allocated
ripencc,SE,1882,1,19930901,allocated
ripencc,SE,1883,1,19930901,allocated
ripencc,SE,2799,1,19930824,allocated
ripencc,SE,2831,1,19931129,allocated
ripencc,SE,2832,1,19931129,allocated
ripencc,SE,2833,1,19931129,allocated
ripencc,SE,2834,1,19931129,allocated
ripencc,SE,2835,1,19931129,allocated
ripencc,SE,2836,1,19931129,allocated
ripencc,SE,2837,1,19931129,allocated
ripencc,SE,2838,1,19931129,allocated
ripencc,SE,2839,1,19931129,allocated
ripencc,SE,2840,1,19931129,allocated
ripencc,SE,2841,1,19931129,allocated
ripencc,SE,2842,1,19931129,allocated
ripencc,SE,2843,1,19931129,allocated
ripencc,SE,2844,1,19931129,allocated
ripencc,SE,2845,1,19931129,allocated
ripencc,SE,2846,1,19931129,allocated
ripencc,SE,2859,1,19940127,allocated
ripencc,SE,2863,1,19940214,allocated
ripencc,SE,2865,1,19940218,allocated
ripencc,SE,3166,1,20120426,allocated
ripencc,SE,3246,1,19940803,allocated
ripencc,SE,3301,1,19941028,allocated
ripencc,SE,3306,1,20151110,allocated
ripencc,SE,3308,1,19941028,allocated
ripencc,SE,3309,1,19941028,allocated
ripencc,SE,3399,1,19940202,allocated
ripencc,SE,5574,1,19960311,allocated
ripencc,SE,5601,1,19960423,allocated
ripencc,SE,6780,1,19961004,allocated
ripencc,SE,6782,1,19961007,allocated
ripencc,SE,6797,1,20091120,allocated
apnic,SE,7589,1,19970701,allocated
ripencc,SE,8213,1,19970217,allocated
ripencc,SE,8233,1,19970310,allocated
ripencc,SE,8289,1,19970424,allocated
ripencc,SE,8385,1,19970718,allocated
ripencc,SE,8434,1,19970820,allocated
ripencc,SE,8464,1,20060322,allocated
ripencc,SE,8473,1,19970918,allocated
ripencc,SE,8479,1,19970919,allocated
ripencc,SE,8516,1,19971021,allocated
ripencc,SE,8523,1,20050228,allocated
ripencc,SE,8532,1,19971106,allocated
ripencc,SE,8642,1,19980203,allocated
ripencc,SE,8674,1,19980218,allocated
ripencc,SE,8748,1,19980408,allocated
ripencc,SE,8769,1,20151012,allocated
ripencc,SE,8837,1,19980612,allocated
ripencc,SE,8873,1,19980706,allocated
ripencc,SE,8949,1,20151008,allocated
ripencc,SE,8973,1,19980910,allocated
ripencc,SE,8984,1,19980921,allocated
ripencc,SE,8995,1,19981001,allocated
ripencc,SE,8996,1,19981001,allocated
ripencc,SE,9045,1,19981105,allocated
ripencc,SE,9046,1,19981105,allocated
ripencc,SE,9047,1,19981105,allocated
ripencc,SE,9088,1,19981208,allocated
ripencc,SE,9167,1,19990125,allocated
ripencc,SE,9201,1,19990218,allocated
ripencc,SE,12381,1,19990422,allocated
ripencc,SE,12384,1,19990422,allocated
ripencc,SE,12435,1,19990520,allocated
ripencc,SE,12501,1,20020515,allocated
ripencc,SE,12552,1,19990712,allocated
ripencc,SE,12597,1,19990813,allocated
ripencc,SE,12740,1,19991020,allocated
ripencc,SE,12782,1,19991108,allocated
ripencc,SE,12805,1,20150923,allocated
ripencc,SE,12935,1,20000113,allocated
ripencc,SE,12939,1,20030131,allocated
ripencc,SE,13063,1,20000307,allocated
ripencc,SE,13116,1,20000322,allocated
ripencc,SE,13189,1,20000427,allocated
ripencc,SE,13214,1,20080218,allocated
ripencc,SE,13308,1,20021029,allocated
ripencc,SE,15519,1,20000725,allocated
ripencc,SE,15782,1,20001012,allocated
ripencc,SE,15793,1,20001013,allocated
ripencc,SE,15869,1,20001025,allocated
ripencc,SE,15912,1,20061011,allocated
ripencc,SE,15980,1,20001116,allocated
ripencc,SE,15991,1,20001121,allocated
ripencc,SE,16037,1,20071203,allocated
ripencc,SE,16115,1,20001227,allocated
ripencc,SE,16117,1,20001228,allocated
ripencc,SE,16150,1,20010109,allocated
ripencc,SE,16251,1,20010208,allocated
ripencc,SE,16253,1,20010209,allocated
ripencc,SE,16261,1,20010212,allocated
ripencc,SE,16312,1,20150910,allocated
ripencc,SE,16375,1,20150818,allocated
ripencc,SE,19399,1,19930901,allocated
ripencc,SE,20513,1,20010319,allocated
ripencc,SE,20514,1,20010319,allocated
ripencc,SE,20574,1,20010406,allocated
ripencc,SE,20625,1,20010420,allocated
ripencc,SE,20626,1,20010420,allocated
ripencc,SE,20861,1,20010620,allocated
ripencc,SE,20888,1,20010627,allocated
ripencc,SE,20943,1,20010710,allocated
ripencc,SE,21195,1,20010924,allocated
ripencc,SE,21200,1,20010925,allocated
ripencc,SE,21201,1,20010926,allocated
ripencc,SE,21202,1,20010926,allocated
ripencc,SE,21227,1,20011002,allocated
ripencc,SE,21250,1,20011005,allocated
ripencc,SE,21485,1,20150717,allocated
ripencc,SE,24605,1,20020117,allocated
ripencc,SE,24668,1,20150713,allocated
ripencc,SE,24809,1,20020405,allocated
ripencc,SE,24813,1,20020409,allocated
ripencc,SE,24819,1,20020410,allocated
ripencc,SE,25037,1,20111007,allocated
ripencc,SE,25072,1,20020719,allocated
ripencc,SE,25146,1,20020808,allocated
ripencc,SE,25169,1,20020820,allocated
ripencc,SE,25172,1,20020822,allocated
ripencc,SE,25176,1,20020823,allocated
ripencc,SE,25223,1,20020905,allocated
ripencc,SE,25252,1,20020912,allocated
