Registry,Country,ASN,Value,Date,Status
arin,SG,931,1,20220616,assigned
apnic,SG,963,1,20220622,allocated
apnic,SG,997,1,20220628,allocated
apnic,SG,1250,1,20020801,allocated
arin,SG,1825,1,20090826,assigned
apnic,SG,3119,1,19931117,allocated
apnic,SG,3758,1,20020801,allocated
apnic,SG,4352,1,20061121,allocated
apnic,SG,4620,1,20240701,allocated
apnic,SG,4628,1,19950912,allocated
apnic,SG,4631,1,20031008,allocated
apnic,SG,4657,1,19960118,allocated
apnic,SG,4765,1,20030115,allocated
apnic,SG,4773,1,20050110,allocated
apnic,SG,4817,1,20011130,allocated
apnic,SG,4836,1,20010913,allocated
apnic,SG,4844,1,20010925,allocated
apnic,SG,4907,1,20200917,allocated
apnic,SG,7387,1,19961127,allocated
apnic,SG,7472,1,19970120,allocated
apnic,SG,7473,1,19970122,allocated
apnic,SG,7595,1,20070803,allocated
apnic,SG,7607,1,20241125,allocated
apnic,SG,7610,1,19970821,allocated
apnic,SG,7634,1,19970929,allocated
apnic,SG,7658,1,19971112,allocated
apnic,SG,7700,1,20031015,allocated
apnic,SG,9226,1,20000511,allocated
apnic,SG,9234,1,20110706,allocated
apnic,SG,9247,1,20000531,allocated
apnic,SG,9255,1,20000602,allocated
apnic,SG,9292,1,19980401,allocated
apnic,SG,9419,1,19981001,allocated
apnic,SG,9450,1,20021016,allocated
apnic,SG,9465,1,20230815,allocated
apnic,SG,9481,1,20250512,allocated
apnic,SG,9506,1,19990328,allocated
apnic,SG,9649,1,19990823,allocated
apnic,SG,9656,1,19990903,allocated
apnic,SG,9664,1,20231017,allocated
apnic,SG,9731,1,20040531,allocated
apnic,SG,9748,1,20201130,allocated
apnic,SG,9798,1,20090714,allocated
apnic,SG,9827,1,20000114,allocated
apnic,SG,9874,1,20000210,allocated
apnic,SG,9877,1,20000215,allocated
apnic,SG,9890,1,20000229,allocated
apnic,SG,9892,1,20000302,allocated
apnic,SG,9911,1,20000321,allocated
apnic,SG,9989,1,20000426,allocated
apnic,SG,10024,1,20000608,allocated
apnic,SG,10031,1,20000615,allocated
apnic,SG,10074,1,20000921,allocated
apnic,SG,10082,1,20101206,allocated
apnic,SG,10086,1,20000628,allocated
apnic,SG,10091,1,20000629,allocated
apnic,SG,10102,1,20100428,allocated
apnic,SG,10117,1,20000727,allocated
apnic,SG,10120,1,20000731,allocated
apnic,SG,10122,1,20190517,allocated
apnic,SG,10140,1,20000817,allocated
apnic,SG,10146,1,20040402,allocated
apnic,SG,10149,1,20000829,allocated
apnic,SG,10230,1,20001005,allocated
apnic,SG,17441,1,20200826,allocated
apnic,SG,17493,1,20110719,allocated
apnic,SG,17547,1,20001229,allocated
apnic,SG,17548,1,20100813,allocated
apnic,SG,17549,1,20010102,allocated
apnic,SG,17558,1,20010108,allocated
apnic,SG,17560,1,20010110,allocated
apnic,SG,17617,1,20010117,allocated
apnic,SG,17644,1,20240710,allocated
apnic,SG,17645,1,20010222,allocated
apnic,SG,17733,1,20010420,allocated
apnic,SG,17743,1,20010501,allocated
apnic,SG,17761,1,20010528,allocated
apnic,SG,17819,1,20010712,allocated
apnic,SG,17886,1,20080826,allocated
apnic,SG,17926,1,20010906,allocated
apnic,SG,17927,1,20011206,allocated
apnic,SG,18019,1,20170202,allocated
apnic,SG,18106,1,20020125,allocated
apnic,SG,18113,1,20030725,allocated
apnic,SG,18219,1,20020517,allocated
apnic,SG,18221,1,20210816,allocated
apnic,SG,18224,1,20020528,allocated
apnic,SG,18228,1,20020530,allocated
apnic,SG,18377,1,20020829,allocated
apnic,SG,18402,1,20021231,allocated
apnic,SG,23653,1,20050804,allocated
apnic,SG,23703,1,20030331,allocated
apnic,SG,23711,1,20030407,allocated
apnic,SG,23728,1,20030430,allocated
apnic,SG,23767,1,20030612,allocated
apnic,SG,23855,1,20050824,allocated
apnic,SG,23856,1,20180326,allocated
apnic,SG,23864,1,20050901,allocated
apnic,SG,23896,1,20030919,allocated
apnic,SG,23920,1,20180613,allocated
apnic,SG,23936,1,20090914,allocated
apnic,SG,23939,1,20080526,allocated
apnic,SG,23979,1,20031229,allocated
apnic,SG,23986,2,20040108,allocated
apnic,SG,24024,1,20040225,allocated
apnic,SG,24030,1,20040308,allocated
apnic,SG,24038,1,20040325,allocated
apnic,SG,24096,1,20040707,allocated
apnic,SG,24114,2,20040805,allocated
apnic,SG,24312,1,20090716,allocated
apnic,SG,24319,1,20041217,allocated
apnic,SG,24331,1,20050121,allocated
apnic,SG,24467,1,20050609,allocated
