Registry,Country,ASN,Value,Date,Status
ripencc,SI,1018,1,20220630,allocated
ripencc,SI,2107,1,19921106,allocated
ripencc,SI,3212,1,20040624,allocated
ripencc,SI,5435,1,19951027,allocated
ripencc,SI,5603,1,19960419,allocated
ripencc,SI,6764,1,19960913,allocated
ripencc,SI,8307,1,19970512,allocated
ripencc,SI,8558,1,20100512,allocated
ripencc,SI,8591,1,19971218,allocated
ripencc,SI,8727,1,20021018,allocated
ripencc,SI,9001,1,20110330,allocated
ripencc,SI,9119,1,19981229,allocated
ripencc,SI,12644,1,20000406,allocated
ripencc,SI,12778,1,19991105,allocated
ripencc,SI,12785,1,20110928,allocated
ripencc,SI,15393,1,20000615,allocated
ripencc,SI,15664,1,20090730,allocated
ripencc,SI,15767,1,20001006,allocated
ripencc,SI,15822,1,20060725,allocated
ripencc,SI,15889,1,20081002,allocated
ripencc,SI,15946,1,20001108,allocated
ripencc,SI,16016,1,20001124,allocated
ripencc,SI,16104,1,20001221,allocated
ripencc,SI,16184,1,20011107,allocated
ripencc,SI,20526,1,20010323,allocated
ripencc,SI,20691,1,20081210,allocated
ripencc,SI,20892,1,20071213,allocated
ripencc,SI,21196,1,20010924,allocated
ripencc,SI,21283,1,20011016,allocated
ripencc,SI,21401,1,20011128,allocated
ripencc,SI,21441,1,20011211,allocated
ripencc,SI,24629,1,20020124,allocated
ripencc,SI,24728,1,20100125,allocated
ripencc,SI,24747,1,20020312,allocated
ripencc,SI,24908,1,20020515,allocated
ripencc,SI,25017,1,20020625,allocated
ripencc,SI,25020,1,20020626,allocated
ripencc,SI,25034,1,20020704,allocated
ripencc,SI,25059,1,20020715,allocated
ripencc,SI,25066,1,20020717,allocated
ripencc,SI,25149,1,20020808,allocated
ripencc,SI,25173,1,20020822,allocated
ripencc,SI,25303,1,20020926,allocated
ripencc,SI,25467,1,20021203,allocated
ripencc,SI,25499,1,20021211,allocated
ripencc,SI,25541,1,20021230,allocated
ripencc,SI,28682,1,20030129,allocated
ripencc,SI,28850,1,20030314,allocated
ripencc,SI,28933,1,20030410,allocated
ripencc,SI,28951,1,20030416,allocated
ripencc,SI,28984,1,20030429,allocated
ripencc,SI,28985,1,20030429,allocated
ripencc,SI,29015,1,20030512,allocated
ripencc,SI,29051,1,20030520,allocated
ripencc,SI,29121,1,20030610,allocated
ripencc,SI,29273,1,20030718,allocated
ripencc,SI,29276,1,20030718,allocated
ripencc,SI,29374,1,20030821,allocated
ripencc,SI,31060,1,20040217,allocated
ripencc,SI,31134,1,20040305,allocated
ripencc,SI,31545,1,20040609,allocated
ripencc,SI,31687,1,20081229,allocated
ripencc,SI,31711,1,20040722,allocated
ripencc,SI,33850,1,20040817,allocated
ripencc,SI,33918,1,20040906,allocated
ripencc,SI,34024,1,20041001,allocated
ripencc,SI,34367,1,20041227,allocated
ripencc,SI,34488,1,20050131,allocated
ripencc,SI,34717,1,20050323,allocated
ripencc,SI,34779,1,20050405,allocated
ripencc,SI,35023,1,20050519,allocated
ripencc,SI,35099,1,20050602,allocated
ripencc,SI,35186,1,20050620,allocated
ripencc,SI,35343,1,20050720,allocated
ripencc,SI,35471,1,20070105,allocated
ripencc,SI,35561,1,20050905,allocated
ripencc,SI,39187,1,20080707,allocated
ripencc,SI,39320,1,20060131,allocated
ripencc,SI,39387,1,20060213,allocated
ripencc,SI,39497,1,20090126,allocated
ripencc,SI,39727,1,20080220,allocated
ripencc,SI,39872,1,20060508,allocated
ripencc,SI,41104,1,20060615,allocated
ripencc,SI,41182,1,20060626,allocated
ripencc,SI,41427,1,20060818,allocated
ripencc,SI,41505,1,20090813,allocated
ripencc,SI,41543,1,20060911,allocated
ripencc,SI,41582,1,20060918,allocated
ripencc,SI,41630,1,20060926,allocated
ripencc,SI,41640,1,20060927,allocated
ripencc,SI,41716,1,20061013,allocated
ripencc,SI,41828,1,20061031,allocated
ripencc,SI,41916,1,20061115,allocated
ripencc,SI,41970,1,20061124,allocated
ripencc,SI,42207,1,20170602,allocated
ripencc,SI,42273,1,20070125,allocated
ripencc,SI,42681,1,20070402,allocated
ripencc,SI,42700,1,20070403,allocated
ripencc,SI,42757,1,20070412,allocated
ripencc,SI,42791,1,20090817,allocated
ripencc,SI,42948,1,20070514,allocated
ripencc,SI,43034,1,20070525,allocated
ripencc,SI,43061,1,20070531,allocated
ripencc,SI,43128,1,20070612,allocated
ripencc,SI,43164,1,20070615,allocated
ripencc,SI,43351,1,20070718,allocated
ripencc,SI,43427,1,20070730,allocated
ripencc,SI,43462,1,20070803,allocated
ripencc,SI,43663,1,20070910,allocated
ripencc,SI,43854,1,20071010,allocated
ripencc,SI,44073,1,20071113,allocated
ripencc,SI,44085,1,20071115,allocated
ripencc,SI,44463,1,20080123,allocated
ripencc,SI,44524,1,20080131,allocated
ripencc,SI,44549,1,20080205,allocated
ripencc,SI,44615,1,20080213,allocated
ripencc,SI,44632,1,20080214,allocated
ripencc,SI,44667,1,20080221,allocated
ripencc,SI,44730,1,20090923,allocated
ripencc,SI,44744,1,20200221,allocated
ripencc,SI,44823,1,20080317,allocated
ripencc,SI,44968,1,20080411,allocated
ripencc,SI,44993,1,20080415,allocated
ripencc,SI,45002,1,20080417,allocated
ripencc,SI,47336,1,20080604,allocated
ripencc,SI,47360,1,20080606,allocated
ripencc,SI,47676,1,20080731,allocated
ripencc,SI,47903,1,20080911,allocated
ripencc,SI,47904,1,20100504,allocated
ripencc,SI,47917,1,20080916,allocated
ripencc,SI,47993,1,20080925,allocated
ripencc,SI,48016,1,20080930,allocated
ripencc,SI,48222,1,20081027,allocated
ripencc,SI,48388,1,20081120,allocated
ripencc,SI,48398,1,20081121,allocated
ripencc,SI,48419,1,20081125,allocated
ripencc,SI,48573,1,20081211,allocated
ripencc,SI,48609,1,20081217,allocated
ripencc,SI,48653,1,20081223,allocated
ripencc,SI,48772,1,20110404,allocated
ripencc,SI,48774,1,20090205,allocated
ripencc,SI,48894,1,20090225,allocated
ripencc,SI,49015,1,20090324,allocated
ripencc,SI,49066,1,20090403,allocated
ripencc,SI,49402,1,20090603,allocated
ripencc,SI,49407,1,20090603,allocated
ripencc,SI,49590,1,20090709,allocated
ripencc,SI,49593,1,20090710,allocated
ripencc,SI,49618,1,20090714,allocated
ripencc,SI,49636,1,20090717,allocated
ripencc,SI,49754,1,20090903,allocated
ripencc,SI,49853,1,20090929,allocated
ripencc,SI,49896,1,20091005,allocated
ripencc,SI,49927,1,20091014,allocated
