Registry,Country,ASN,Value,Date,Status
ripencc,SK,1902,1,19930901,allocated
ripencc,SK,1922,1,19930901,allocated
ripencc,SK,2607,1,19931021,allocated
ripencc,SK,5578,1,19960318,allocated
ripencc,SK,5628,1,19960513,allocated
ripencc,SK,6658,1,19960528,allocated
ripencc,SK,6726,1,19960723,allocated
ripencc,SK,6803,1,19961028,allocated
ripencc,SK,6855,1,19961203,allocated
ripencc,SK,6862,1,19961209,allocated
ripencc,SK,8257,1,19970404,allocated
ripencc,SK,8288,1,19970429,allocated
ripencc,SK,8290,1,19970424,allocated
ripencc,SK,8597,1,20120605,allocated
ripencc,SK,8620,1,19980113,allocated
ripencc,SK,8778,1,19980505,allocated
ripencc,SK,8887,1,20110330,allocated
ripencc,SK,12426,1,20010219,allocated
ripencc,SK,12508,1,19990622,allocated
ripencc,SK,12905,1,19991230,allocated
ripencc,SK,12917,1,20150923,allocated
ripencc,SK,15497,1,20000717,allocated
ripencc,SK,15962,1,20001114,allocated
ripencc,SK,16006,1,20090206,allocated
ripencc,SK,16142,1,20010105,allocated
ripencc,SK,16160,1,20010109,allocated
ripencc,SK,16295,1,20010220,allocated
ripencc,SK,16354,1,20090112,allocated
ripencc,SK,16367,1,20010309,allocated
ripencc,SK,20579,1,20010410,allocated
ripencc,SK,20581,1,20090803,allocated
ripencc,SK,20949,1,20010711,allocated
ripencc,SK,21019,1,20010730,allocated
ripencc,SK,21460,1,20011217,allocated
ripencc,SK,24727,1,20020305,allocated
ripencc,SK,24744,1,20020311,allocated
ripencc,SK,24791,1,20020402,allocated
ripencc,SK,25373,1,20040714,allocated
ripencc,SK,25496,1,20021210,allocated
ripencc,SK,28952,1,20150608,allocated
ripencc,SK,29148,1,20110808,allocated
ripencc,SK,29405,1,20030829,allocated
ripencc,SK,29531,1,20031006,allocated
ripencc,SK,30898,1,20040107,allocated
ripencc,SK,30929,1,20150521,allocated
ripencc,SK,31117,1,20040302,allocated
ripencc,SK,31127,1,20040304,allocated
ripencc,SK,31193,1,20040318,allocated
ripencc,SK,31230,1,20150519,allocated
ripencc,SK,31679,1,20040709,allocated
ripencc,SK,34443,1,20050120,allocated
ripencc,SK,34462,1,20050125,allocated
ripencc,SK,34521,1,20050207,allocated
ripencc,SK,34633,1,20050303,allocated
ripencc,SK,34791,1,20050405,allocated
ripencc,SK,34820,1,20050408,allocated
ripencc,SK,35328,1,20050715,allocated
ripencc,SK,35476,1,20120503,allocated
ripencc,SK,35493,1,20150326,allocated
ripencc,SK,38949,1,20051117,allocated
ripencc,SK,39456,1,20100621,allocated
ripencc,SK,39574,1,20060321,allocated
ripencc,SK,39774,1,20171024,allocated
ripencc,SK,39854,1,20060504,allocated
ripencc,SK,41318,1,20060724,allocated
ripencc,SK,41591,1,20110202,allocated
ripencc,SK,41899,1,20061110,allocated
ripencc,SK,42005,1,20061201,allocated
ripencc,SK,42244,1,20070123,allocated
ripencc,SK,42826,1,20080716,allocated
ripencc,SK,42841,1,20070425,allocated
ripencc,SK,43248,1,20070702,allocated
ripencc,SK,43451,1,20070801,allocated
ripencc,SK,43653,1,20170104,allocated
ripencc,SK,44001,1,20110624,allocated
ripencc,SK,44185,1,20071130,allocated
ripencc,SK,44234,1,20071207,allocated
ripencc,SK,44452,1,20161109,allocated
ripencc,SK,44631,1,20080214,allocated
ripencc,SK,47483,1,20080625,allocated
ripencc,SK,47867,1,20141208,allocated
ripencc,SK,48133,1,20081016,allocated
ripencc,SK,48211,1,20210415,allocated
ripencc,SK,48304,1,20081110,allocated
ripencc,SK,48326,1,20081112,allocated
ripencc,SK,48473,1,20081201,allocated
ripencc,SK,48689,1,20090102,allocated
ripencc,SK,48907,1,20110913,allocated
ripencc,SK,49044,1,20090331,allocated
ripencc,SK,49115,1,20090415,allocated
ripencc,SK,49117,1,20151021,allocated
ripencc,SK,49460,1,20160922,allocated
ripencc,SK,49659,1,20090722,allocated
ripencc,SK,49798,1,20160411,allocated
ripencc,SK,50128,1,20091120,allocated
ripencc,SK,50242,1,20091209,allocated
ripencc,SK,50881,1,20110207,allocated
ripencc,SK,50925,1,20170213,allocated
ripencc,SK,50953,1,20100429,allocated
ripencc,SK,51013,1,20100517,allocated
ripencc,SK,51558,1,20100928,allocated
ripencc,SK,51653,1,20101014,allocated
ripencc,SK,51876,1,20190805,allocated
ripencc,SK,51947,1,20101203,allocated
ripencc,SK,52139,1,20110105,allocated
ripencc,SK,56349,1,20110209,allocated
ripencc,SK,56356,1,20110210,allocated
ripencc,SK,56572,1,20191126,allocated
ripencc,SK,56656,1,20110420,allocated
ripencc,SK,56747,1,20110509,allocated
ripencc,SK,56800,1,20110518,allocated
ripencc,SK,56817,1,20220926,allocated
ripencc,SK,56926,1,20110615,allocated
ripencc,SK,56933,1,20110617,allocated
ripencc,SK,56937,1,20110617,allocated
ripencc,SK,56955,1,20110622,allocated
ripencc,SK,57051,1,20110711,allocated
ripencc,SK,57248,1,20110906,allocated
ripencc,SK,57414,1,20111020,allocated
ripencc,SK,57475,1,20160607,allocated
ripencc,SK,57539,1,20111124,allocated
ripencc,SK,57547,1,20111125,allocated
ripencc,SK,57566,1,20111130,allocated
ripencc,SK,57606,1,20111208,allocated
ripencc,SK,57710,1,20120120,allocated
ripencc,SK,57716,1,20120123,allocated
ripencc,SK,57760,1,20120202,allocated
ripencc,SK,57788,1,20120208,allocated
ripencc,SK,57801,1,20120213,allocated
ripencc,SK,58014,1,20170807,allocated
ripencc,SK,58044,1,20120405,allocated
ripencc,SK,58130,1,20120510,allocated
ripencc,SK,58245,1,20120601,allocated
ripencc,SK,58275,1,20120612,allocated
ripencc,SK,58328,1,20120626,allocated
ripencc,SK,59477,1,20120719,allocated
ripencc,SK,59548,1,20120807,allocated
ripencc,SK,59796,1,20140925,allocated
ripencc,SK,60296,1,20130816,allocated
ripencc,SK,60533,1,20130701,allocated
ripencc,SK,60585,1,20130620,allocated
ripencc,SK,60715,1,20160519,allocated
ripencc,SK,60791,1,20130510,allocated
ripencc,SK,60829,1,20130501,allocated
ripencc,SK,60895,1,20130417,allocated
ripencc,SK,61241,1,20170912,allocated
ripencc,SK,61335,1,20121119,allocated
ripencc,SK,61424,1,20121015,allocated
ripencc,SK,64488,1,20160805,allocated
ripencc,SK,196682,1,20090225,allocated
ripencc,SK,196900,1,20110728,allocated
ripencc,SK,196944,1,20100222,allocated
ripencc,SK,197398,1,20101116,allocated
ripencc,SK,197642,1,20110309,allocated
ripencc,SK,198113,1,20230616,allocated
ripencc,SK,198543,1,20120301,allocated
ripencc,SK,199784,1,20230221,allocated
ripencc,SK,200222,1,20230112,allocated
ripencc,SK,200355,1,20180801,allocated
ripencc,SK,200399,1,20221220,allocated
ripencc,SK,200771,1,20150420,allocated
ripencc,SK,200860,1,20180716,allocated
ripencc,SK,201090,1,20221129,allocated
ripencc,SK,201603,1,20140909,allocated
ripencc,SK,201702,1,20140808,allocated
ripencc,SK,201841,1,20140627,allocated
ripencc,SK,201890,1,20140612,allocated
ripencc,SK,201924,1,20140530,allocated
ripencc,SK,201997,1,20140508,allocated
ripencc,SK,202564,1,20160722,allocated
ripencc,SK,202819,1,20160526,allocated
ripencc,SK,202876,1,20160513,allocated
ripencc,SK,203103,1,20160330,allocated
ripencc,SK,203122,1,20160324,allocated
ripencc,SK,203480,1,20180420,allocated
ripencc,SK,203933,1,20151001,allocated
ripencc,SK,204017,1,20220708,allocated
ripencc,SK,204058,1,20180411,allocated
ripencc,SK,204070,1,20220707,allocated
ripencc,SK,204365,1,20180327,allocated
ripencc,SK,204690,1,20180126,allocated
ripencc,SK,204691,1,20180126,allocated
ripencc,SK,204716,1,20180122,allocated
ripencc,SK,204749,1,20180116,allocated
ripencc,SK,205055,1,20171113,allocated
ripencc,SK,205164,1,20171026,allocated
ripencc,SK,205168,1,20171025,allocated
ripencc,SK,205428,1,20170825,allocated
ripencc,SK,206110,1,20170324,allocated
ripencc,SK,206194,1,20170309,allocated
ripencc,SK,206198,1,20170309,allocated
ripencc,SK,206759,1,20161110,allocated
ripencc,SK,206909,1,20161011,allocated
ripencc,SK,207437,1,20200131,allocated
ripencc,SK,207981,1,20191022,allocated
ripencc,SK,208429,1,20190805,allocated
ripencc,SK,208667,1,20190625,allocated
ripencc,SK,208668,1,20190625,allocated
ripencc,SK,208670,1,20190625,allocated
ripencc,SK,208882,1,20190517,allocated
ripencc,SK,209070,1,20190410,allocated
ripencc,SK,209212,1,20190924,allocated
ripencc,SK,209250,1,20190311,allocated
ripencc,SK,209251,1,20190311,allocated
ripencc,SK,209429,1,20190212,allocated
ripencc,SK,209531,1,20190122,allocated
ripencc,SK,209816,1,20220114,allocated
ripencc,SK,209998,1,20181026,allocated
ripencc,SK,210117,1,20181005,allocated
ripencc,SK,210263,1,20180906,allocated
ripencc,SK,211490,1,20210412,allocated
ripencc,SK,211689,1,20210305,allocated
ripencc,SK,212473,1,20201021,allocated
ripencc,SK,212537,1,20201008,allocated
ripencc,SK,212974,1,20200707,allocated
ripencc,SK,213247,1,20220110,allocated
ripencc,SK,213609,1,20250110,allocated
ripencc,SK,213906,1,20241106,allocated
ripencc,SK,214072,1,20241007,allocated
ripencc,SK,214087,1,20241004,allocated
ripencc,SK,214396,1,20240807,allocated
ripencc,SK,214400,1,20240807,allocated
ripencc,SK,214851,1,20240522,allocated
ripencc,SK,215695,1,20240118,allocated
ripencc,SK,215798,1,20231229,allocated
ripencc,SK,216051,1,20231101,allocated
ripencc,SK,216083,1,20231027,allocated
