Registry,Country,ASN,Value,Date,Status
afrinic,SL,36988,1,20090123,allocated
afrinic,SL,37117,1,20090717,allocated
afrinic,SL,37164,1,20100105,allocated
afrinic,SL,37208,1,20100503,allocated
afrinic,SL,37418,1,20120208,allocated
afrinic,SL,37449,1,20120521,allocated
afrinic,SL,37723,1,20191213,allocated
ripencc,SL,209049,1,20190416,allocated
afrinic,SL,327903,1,20150626,allocated
afrinic,SL,327990,1,20160322,allocated
afrinic,SL,328236,1,20171024,allocated
afrinic,SL,328258,1,20171219,allocated
afrinic,SL,328289,1,20180316,allocated
afrinic,SL,328297,1,20180326,allocated
afrinic,SL,328579,1,20191121,allocated
afrinic,SL,328581,1,20191122,allocated
afrinic,SL,329109,1,20220727,allocated
afrinic,SL,329439,1,20240604,allocated
afrinic,SL,329561,1,20250627,allocated
afrinic,SL,329574,1,20250710,allocated
