Registry,Country,ASN,Value,Date,Status
ripencc,SM,15433,1,20000628,allocated
ripencc,SM,34468,1,20191129,allocated
ripencc,SM,39759,1,20060420,allocated
ripencc,SM,48345,1,20081114,allocated
ripencc,SM,62171,1,20140115,allocated
ripencc,SM,196874,1,20091216,allocated
ripencc,SM,197699,1,20230720,allocated
ripencc,SM,198446,1,20120130,allocated
ripencc,SM,199325,1,20130311,allocated
ripencc,SM,201852,1,20140626,allocated
ripencc,SM,212841,1,20200731,allocated
ripencc,SM,213557,1,20250120,allocated
