Registry,Country,ASN,Value,Date,Status
ripencc,SN,8346,1,19970612,allocated
afrinic,SN,37196,1,20100406,allocated
afrinic,SN,37288,1,20101228,allocated
afrinic,SN,37649,1,20131105,allocated
afrinic,SN,37773,1,20170331,allocated
afrinic,SN,37803,1,20241015,allocated
afrinic,SN,327809,1,20141022,allocated
afrinic,SN,328099,1,20161111,allocated
afrinic,SN,328147,1,20170331,allocated
afrinic,SN,328148,1,20170331,allocated
afrinic,SN,328159,1,20170428,allocated
afrinic,SN,328259,1,20171219,allocated
afrinic,SN,328558,1,20191016,allocated
afrinic,SN,328650,1,20200505,allocated
afrinic,SN,329161,1,20221017,allocated
afrinic,SN,329398,1,20240215,allocated
afrinic,SN,329407,1,20240226,allocated
afrinic,SN,329507,1,20241015,allocated
afrinic,SN,329517,1,20241115,allocated
