Registry,Country,ASN,Value,Date,Status
afrinic,SO,37326,1,20110505,allocated
afrinic,SO,37371,1,20110905,allocated
afrinic,SO,37425,1,20120227,allocated
afrinic,SO,37473,1,20120706,allocated
afrinic,SO,37563,1,20130221,allocated
afrinic,SO,37644,1,20131025,allocated
afrinic,SO,37781,1,20180830,allocated
afrinic,SO,327732,1,20140220,allocated
afrinic,SO,327742,1,20140327,allocated
afrinic,SO,327747,1,20140410,allocated
afrinic,SO,327764,1,20140609,allocated
afrinic,SO,327768,1,20140620,allocated
afrinic,SO,327828,1,20141222,allocated
afrinic,SO,328250,1,20171129,allocated
afrinic,SO,328319,1,20180528,allocated
afrinic,SO,328363,1,20180830,allocated
afrinic,SO,328435,1,20190214,allocated
afrinic,SO,328469,1,20190417,allocated
afrinic,SO,328590,1,20191216,allocated
afrinic,SO,328953,1,20211008,allocated
afrinic,SO,328954,1,20211009,allocated
afrinic,SO,328959,1,20211015,allocated
afrinic,SO,329163,1,20221018,allocated
afrinic,SO,329343,1,20231017,allocated
