Registry,Country,ASN,Value,Date,Status
afrinic,SS,36892,1,20150713,allocated
afrinic,SS,37376,1,20110912,allocated
afrinic,SS,37406,1,20111212,allocated
afrinic,SS,37584,1,20130409,allocated
afrinic,SS,37594,1,20130426,allocated
afrinic,SS,37729,1,20220222,allocated
afrinic,SS,327786,1,20140829,allocated
afrinic,SS,328491,1,20190527,allocated
afrinic,SS,328535,1,20190906,allocated
afrinic,SS,328546,1,20191001,allocated
afrinic,SS,328550,1,20191010,allocated
afrinic,SS,328586,1,20191129,allocated
afrinic,SS,328605,1,20200123,allocated
afrinic,SS,328610,1,20200203,allocated
afrinic,SS,328614,1,20200212,allocated
afrinic,SS,328697,1,20200714,allocated
afrinic,SS,328708,1,20200724,allocated
afrinic,SS,328755,1,20201030,allocated
afrinic,SS,329020,1,20220310,allocated
afrinic,SS,329094,1,20220706,allocated
afrinic,SS,329162,1,20221018,allocated
afrinic,SS,329168,1,20221031,allocated
afrinic,SS,329446,1,20240620,allocated
