Registry,Country,ASN,Value,Date,Status
lacnic,SV,6945,1,19960703,allocated
lacnic,SV,12127,1,19990330,allocated
lacnic,SV,14111,1,19991020,allocated
lacnic,SV,16592,1,20000523,allocated
lacnic,SV,16906,1,20000628,allocated
lacnic,SV,17079,1,20000721,allocated
lacnic,SV,17086,1,20000724,allocated
lacnic,SV,22833,1,20011129,allocated
lacnic,SV,25927,1,20020531,allocated
lacnic,SV,27708,1,20030627,allocated
lacnic,SV,27773,1,20050613,allocated
lacnic,SV,27785,1,20050913,allocated
lacnic,SV,27900,1,20070504,allocated
lacnic,SV,27903,1,20070508,allocated
lacnic,SV,28074,1,20090804,allocated
lacnic,SV,52472,1,20130513,allocated
lacnic,SV,61502,1,20150728,allocated
lacnic,SV,262179,1,20130530,allocated
lacnic,SV,262199,1,20130717,allocated
lacnic,SV,262204,1,20111219,allocated
lacnic,SV,263695,1,20141020,allocated
lacnic,SV,263708,1,20141125,allocated
lacnic,SV,263783,1,20150616,allocated
lacnic,SV,264606,1,20150917,allocated
lacnic,SV,264635,1,20151109,allocated
lacnic,SV,264662,1,20160112,allocated
lacnic,SV,264720,1,20160613,allocated
lacnic,SV,264813,1,20161117,allocated
lacnic,SV,265650,1,20170208,allocated
lacnic,SV,265712,1,20170428,allocated
lacnic,SV,265752,1,20170626,allocated
lacnic,SV,265780,1,20170801,allocated
lacnic,SV,265811,1,20170904,allocated
lacnic,SV,265840,1,20171011,allocated
lacnic,SV,266686,1,20171226,allocated
lacnic,SV,266893,1,20180827,allocated
lacnic,SV,267709,1,20181030,allocated
lacnic,SV,267752,1,20190118,allocated
lacnic,SV,267768,1,20190206,allocated
lacnic,SV,267860,1,20190521,allocated
lacnic,SV,267877,1,20190530,allocated
lacnic,SV,267917,1,20190626,allocated
lacnic,SV,269734,1,20190726,allocated
lacnic,SV,269769,1,20190905,allocated
lacnic,SV,269815,1,20191016,allocated
lacnic,SV,269837,1,20191111,allocated
lacnic,SV,269927,1,20200203,allocated
lacnic,SV,271948,1,20210802,allocated
lacnic,SV,271966,1,20210824,allocated
lacnic,SV,273171,1,20240124,allocated
lacnic,SV,273827,1,20240514,allocated
lacnic,SV,273859,1,20240621,allocated
lacnic,SV,273962,1,20241022,allocated
lacnic,SV,274006,1,20241217,allocated
