Registry,Country,ASN,Value,Date,Status
ripencc,SY,24814,1,20020409,allocated
ripencc,SY,29256,1,20030710,allocated
ripencc,SY,29386,1,20030827,allocated
ripencc,SY,48065,1,20081006,allocated
ripencc,SY,197842,1,20260506,allocated
ripencc,SY,201550,1,20140926,allocated
ripencc,SY,203862,1,20251113,allocated
ripencc,SY,204454,1,20251023,allocated
ripencc,SY,210557,1,20251230,allocated
ripencc,SY,213812,1,20241125,allocated
ripencc,SY,214707,1,20240613,allocated
ripencc,SY,216472,1,20250909,allocated
ripencc,SY,219126,1,20260728,allocated
