Registry,Country,ASN,Value,Date,Status
afrinic,SZ,19711,1,20101124,allocated
afrinic,SZ,32398,1,20040427,allocated
afrinic,SZ,37510,1,20121026,allocated
afrinic,SZ,37696,1,20141003,allocated
afrinic,SZ,327762,1,20140603,allocated
afrinic,SZ,327765,1,20140611,allocated
afrinic,SZ,328169,1,20170522,allocated
afrinic,SZ,328531,1,20190827,allocated
afrinic,SZ,328628,1,20200318,allocated
afrinic,SZ,328690,1,20200622,allocated
afrinic,SZ,329095,1,20220706,allocated
afrinic,SZ,329223,1,20230306,allocated
