Registry,Country,ASN,Value,Date,Status
afrinic,TD,37462,1,20120618,allocated
afrinic,TD,37794,1,20221013,allocated
afrinic,TD,327756,1,20140502,allocated
afrinic,TD,327802,1,20141002,allocated
afrinic,TD,327836,1,20150130,allocated
afrinic,TD,327864,1,20150323,allocated
afrinic,TD,327975,1,20160218,allocated
afrinic,TD,328104,1,20161122,allocated
afrinic,TD,328310,1,20180425,allocated
afrinic,TD,328594,1,20191226,allocated
afrinic,TD,328599,1,20200108,allocated
afrinic,TD,328604,1,20200122,allocated
afrinic,TD,328679,1,20200622,allocated
afrinic,TD,328908,1,20210810,allocated
afrinic,TD,328956,1,20211013,allocated
afrinic,TD,329158,1,20221013,allocated
afrinic,TD,329207,1,20230120,allocated
afrinic,TD,329312,1,20230824,allocated
