Registry,Country,ASN,Value,Date,Status
apnic,TH,3836,1,20020801,allocated
apnic,TH,3839,1,20020801,allocated
apnic,TH,4274,1,20020801,allocated
apnic,TH,4618,1,19950810,allocated
apnic,TH,4621,1,19950816,allocated
apnic,TH,4651,2,19951227,allocated
apnic,TH,4741,1,19960710,allocated
apnic,TH,4750,1,19960321,allocated
apnic,TH,4762,1,19960726,allocated
apnic,TH,4767,1,19960228,allocated
apnic,TH,4776,1,19960904,allocated
apnic,TH,4823,1,20011217,allocated
apnic,TH,4827,1,20011227,allocated
apnic,TH,7470,1,19970107,allocated
apnic,TH,7485,1,19970226,allocated
apnic,TH,7568,1,19970523,allocated
apnic,TH,7588,1,19970701,allocated
apnic,TH,7596,1,19970716,allocated
apnic,TH,7613,1,20060125,allocated
apnic,TH,7616,1,19970903,allocated
apnic,TH,7630,1,19970924,allocated
apnic,TH,7636,1,19971002,allocated
apnic,TH,7654,1,19971110,allocated
apnic,TH,7693,1,19971202,allocated
apnic,TH,7715,1,19980107,allocated
apnic,TH,9287,1,19980310,allocated
apnic,TH,9335,1,20160511,allocated
apnic,TH,9339,1,20031030,allocated
apnic,TH,9397,1,19980908,allocated
apnic,TH,9411,1,19980924,allocated
apnic,TH,9464,1,19981203,allocated
apnic,TH,9475,1,19990114,allocated
apnic,TH,9486,1,19990222,allocated
apnic,TH,9533,1,19990513,allocated
apnic,TH,9546,1,19990615,allocated
apnic,TH,9551,1,19990622,allocated
apnic,TH,9562,1,19990713,allocated
apnic,TH,9587,1,20090121,allocated
apnic,TH,9715,1,19991008,allocated
apnic,TH,9737,1,19991119,allocated
apnic,TH,9741,1,19991125,allocated
apnic,TH,9835,1,20000131,allocated
apnic,TH,9891,1,20030807,allocated
apnic,TH,9903,1,20000313,allocated
apnic,TH,9931,1,20000405,allocated
apnic,TH,10028,1,20000614,allocated
apnic,TH,10089,1,20050105,allocated
apnic,TH,10227,1,20001004,allocated
apnic,TH,17425,1,20001018,allocated
apnic,TH,17460,1,20110727,allocated
apnic,TH,17468,1,20001117,allocated
apnic,TH,17475,1,20060106,allocated
apnic,TH,17478,1,20110802,allocated
apnic,TH,17479,1,20001121,allocated
apnic,TH,17552,1,20010105,allocated
apnic,TH,17556,1,20030701,allocated
apnic,TH,17565,1,20050318,allocated
apnic,TH,17724,1,20041105,allocated
apnic,TH,17823,1,20010717,allocated
apnic,TH,17827,1,20010719,allocated
apnic,TH,17887,1,20010731,allocated
apnic,TH,17901,1,20020214,allocated
apnic,TH,17980,1,20011022,allocated
apnic,TH,18197,1,20070703,allocated
apnic,TH,18252,1,20021230,allocated
apnic,TH,18256,1,20020626,allocated
apnic,TH,18356,1,20030728,allocated
apnic,TH,18362,1,20020807,allocated
apnic,TH,18386,1,20021022,allocated
apnic,TH,18408,1,20050803,allocated
apnic,TH,18409,1,20050803,allocated
apnic,TH,23602,1,20030113,allocated
apnic,TH,23644,1,20030204,allocated
apnic,TH,23656,1,20030225,allocated
apnic,TH,23683,1,20050819,allocated
apnic,TH,23687,1,20030327,allocated
apnic,TH,23717,1,20030411,allocated
apnic,TH,23883,1,20081203,allocated
apnic,TH,23884,1,20030822,allocated
apnic,TH,23891,1,20030912,allocated
apnic,TH,23892,1,20030917,allocated
apnic,TH,23919,1,20031027,allocated
apnic,TH,23925,1,20050913,allocated
apnic,TH,23927,1,20050913,allocated
apnic,TH,23932,1,20050915,allocated
apnic,TH,23969,1,20081022,allocated
apnic,TH,23974,1,20100209,allocated
apnic,TH,24040,1,20040405,allocated
apnic,TH,24042,1,20050929,allocated
apnic,TH,24060,1,20040504,allocated
apnic,TH,24067,1,20040526,allocated
apnic,TH,24083,1,20040621,allocated
apnic,TH,24097,1,20071008,allocated
apnic,TH,24128,1,20040813,allocated
apnic,TH,24187,1,20051028,allocated
apnic,TH,24190,1,20051101,allocated
apnic,TH,24214,1,20040903,allocated
apnic,TH,24237,1,20041001,allocated
apnic,TH,24299,1,20051103,allocated
apnic,TH,24326,1,20041230,allocated
apnic,TH,24328,1,20080403,allocated
apnic,TH,24344,1,20050225,allocated
apnic,TH,24378,1,20050315,allocated
apnic,TH,24379,1,20050315,allocated
apnic,TH,24393,1,20050412,allocated
apnic,TH,24453,1,20120925,allocated
apnic,TH,24455,1,20050519,allocated
apnic,TH,24465,1,20050602,allocated
apnic,TH,24475,1,20051103,allocated
apnic,TH,24491,1,20051125,allocated
apnic,TH,24540,1,20060116,allocated
apnic,TH,24573,1,20060228,allocated
apnic,TH,37930,1,20060306,allocated
apnic,TH,37932,1,20060307,allocated
apnic,TH,37977,1,20060314,allocated
apnic,TH,37983,1,20060320,allocated
apnic,TH,37992,1,20060327,allocated
apnic,TH,38002,1,20060427,allocated
apnic,TH,38024,1,20060522,allocated
apnic,TH,38034,1,20060526,allocated
apnic,TH,38040,1,20060530,allocated
apnic,TH,38081,2,20060706,allocated
apnic,TH,38184,1,20060726,allocated
apnic,TH,38223,1,20060914,allocated
apnic,TH,38228,1,20060925,allocated
apnic,TH,38231,1,20060929,allocated
apnic,TH,38265,1,20061017,allocated
apnic,TH,38293,1,20061205,allocated
apnic,TH,38296,1,20061207,allocated
apnic,TH,38297,1,20061207,allocated
apnic,TH,38326,1,20070117,allocated
apnic,TH,38328,1,20070122,allocated
apnic,TH,38443,1,20070208,allocated
apnic,TH,38444,1,20070209,allocated
apnic,TH,38448,1,20070212,allocated
apnic,TH,38450,1,20070214,allocated
apnic,TH,38460,1,20070221,allocated
apnic,TH,38543,1,20070418,allocated
apnic,TH,38554,1,20070430,allocated
apnic,TH,38566,1,20070517,allocated
apnic,TH,38589,1,20070613,allocated
apnic,TH,38599,1,20070625,allocated
apnic,TH,38601,1,20070627,allocated
apnic,TH,38618,1,20070725,allocated
apnic,TH,38718,1,20070831,allocated
apnic,TH,38794,1,20071004,allocated
apnic,TH,38815,1,20071024,allocated
apnic,TH,38820,1,20071026,allocated
apnic,TH,38886,1,20080124,allocated
apnic,TH,38888,1,20080125,allocated
apnic,TH,38889,1,20080125,allocated
apnic,TH,45134,1,20080305,allocated
apnic,TH,45142,1,20080311,allocated
apnic,TH,45173,1,20080404,allocated
apnic,TH,45197,1,20080430,allocated
apnic,TH,45199,2,20080506,allocated
apnic,TH,45223,1,20080603,allocated
apnic,TH,45229,1,20080610,allocated
apnic,TH,45248,1,20080703,allocated
apnic,TH,45254,1,20080710,allocated
apnic,TH,45255,1,20080710,allocated
apnic,TH,45265,1,20080716,allocated
apnic,TH,45328,1,20080729,allocated
apnic,TH,45413,1,20080822,allocated
apnic,TH,45430,1,20080909,allocated
apnic,TH,45441,1,20080918,allocated
apnic,TH,45455,1,20080930,allocated
apnic,TH,45456,1,20080930,allocated
apnic,TH,45458,1,20081001,allocated
apnic,TH,45471,1,20081014,allocated
apnic,TH,45503,1,20081029,allocated
apnic,TH,45530,1,20081124,allocated
apnic,TH,45533,1,20081126,allocated
apnic,TH,45537,1,20090324,allocated
apnic,TH,45575,1,20081211,allocated
apnic,TH,45581,1,20081219,allocated
apnic,TH,45629,1,20090213,allocated
apnic,TH,45642,1,20090227,allocated
apnic,TH,45652,1,20090312,allocated
apnic,TH,45662,1,20090323,allocated
apnic,TH,45667,1,20090327,allocated
apnic,TH,45752,1,20090421,allocated
apnic,TH,45758,1,20090424,allocated
apnic,TH,45764,1,20090430,allocated
apnic,TH,45781,1,20090519,allocated
apnic,TH,45788,1,20090604,allocated
apnic,TH,45796,1,20090615,allocated
apnic,TH,45800,1,20090616,allocated
apnic,TH,45805,1,20090618,allocated
apnic,TH,45806,2,20090619,allocated
apnic,TH,45847,1,20090714,allocated
apnic,TH,45878,1,20090819,allocated
apnic,TH,45958,1,20091103,allocated
apnic,TH,45959,1,20091104,allocated
apnic,TH,46079,1,20091126,allocated
apnic,TH,55325,1,20091203,allocated
apnic,TH,55403,1,20100201,allocated
apnic,TH,55407,1,20100208,allocated
apnic,TH,55423,1,20100218,allocated
apnic,TH,55451,1,20100323,allocated
apnic,TH,55465,1,20100331,allocated
apnic,TH,55476,1,20100409,allocated
apnic,TH,55488,1,20100419,allocated
