Registry,Country,ASN,Value,Date,Status
ripencc,TJ,8847,1,20090729,allocated
ripencc,TJ,24722,1,20020305,allocated
ripencc,TJ,34557,1,20050215,allocated
ripencc,TJ,42713,1,20070404,allocated
ripencc,TJ,43030,1,20070525,allocated
ripencc,TJ,43077,1,20200904,allocated
ripencc,TJ,43197,1,20090923,allocated
ripencc,TJ,44027,1,20071106,allocated
ripencc,TJ,44961,1,20210203,allocated
ripencc,TJ,47139,1,20080502,allocated
ripencc,TJ,48001,1,20170616,allocated
ripencc,TJ,48184,1,20160308,allocated
ripencc,TJ,48887,1,20090224,allocated
ripencc,TJ,49472,1,20090615,allocated
ripencc,TJ,49945,1,20191008,allocated
ripencc,TJ,51346,1,20100727,allocated
ripencc,TJ,57443,1,20180718,allocated
ripencc,TJ,60101,1,20231106,allocated
ripencc,TJ,196854,1,20091125,allocated
ripencc,TJ,199303,1,20230320,allocated
ripencc,TJ,199793,1,20230217,allocated
ripencc,TJ,204106,1,20220705,allocated
ripencc,TJ,205507,1,20170803,allocated
ripencc,TJ,206107,1,20200330,allocated
ripencc,TJ,206691,1,20250714,allocated
ripencc,TJ,208536,1,20250513,allocated
ripencc,TJ,208592,1,20190708,allocated
ripencc,TJ,208885,1,20250704,allocated
ripencc,TJ,210053,1,20220105,allocated
ripencc,TJ,211203,1,20210607,allocated
ripencc,TJ,212447,1,20201027,allocated
ripencc,TJ,213631,1,20250106,allocated
ripencc,TJ,214157,1,20240923,allocated
ripencc,TJ,214582,1,20240704,allocated
ripencc,TJ,215533,1,20240212,allocated
ripencc,TJ,215814,1,20231221,allocated
