Registry,Country,ASN,Value,Date,Status
apnic,TL,38077,1,20060630,allocated
apnic,TL,58731,1,20121102,allocated
apnic,TL,64055,1,20151021,allocated
apnic,TL,133606,1,20140722,allocated
apnic,TL,135065,1,20160201,allocated
apnic,TL,136920,1,20170817,allocated
apnic,TL,139687,2,20190927,allocated
apnic,TL,140223,1,20200219,allocated
apnic,TL,148989,1,20211029,allocated
apnic,TL,149004,1,20211109,allocated
apnic,TL,151605,1,20230707,allocated
apnic,TL,152899,1,20240603,allocated
apnic,TL,153183,1,20240801,allocated
apnic,TL,153708,1,20250318,allocated
