Registry,Country,ASN,Value,Date,Status
ripencc,TN,2609,1,19931103,allocated
ripencc,TN,5438,1,19951030,allocated
afrinic,TN,31245,1,20070920,allocated
afrinic,TN,37107,1,20090622,allocated
afrinic,TN,37351,1,20110701,allocated
afrinic,TN,37492,1,20120822,allocated
afrinic,TN,37504,1,20121015,allocated
afrinic,TN,37551,1,20130205,allocated
afrinic,TN,37671,1,20130621,allocated
afrinic,TN,37693,1,20140130,allocated
afrinic,TN,37705,1,20141120,allocated
afrinic,TN,37709,1,20150212,allocated
afrinic,TN,37717,1,20160530,allocated
afrinic,TN,37719,1,20170126,allocated
afrinic,TN,327718,1,20131224,allocated
afrinic,TN,327934,1,20150922,allocated
afrinic,TN,327969,1,20160127,allocated
afrinic,TN,328048,1,20160725,allocated
afrinic,TN,328126,1,20170126,allocated
afrinic,TN,328307,1,20180420,allocated
afrinic,TN,328394,1,20181026,allocated
afrinic,TN,328414,1,20181221,allocated
afrinic,TN,328853,1,20210520,allocated
afrinic,TN,328880,1,20210625,allocated
afrinic,TN,328897,1,20210725,allocated
afrinic,TN,329071,1,20220606,allocated
afrinic,TN,329186,1,20221209,allocated
afrinic,TN,329268,1,20230530,allocated
afrinic,TN,329563,1,20250627,allocated
