Registry,Country,ASN,Value,Date,Status
ripencc,TR,1885,1,20100225,allocated
ripencc,TR,2592,1,19930708,allocated
ripencc,TR,2600,1,20000630,allocated
ripencc,TR,2872,1,20151118,allocated
ripencc,TR,3188,1,20120501,allocated
ripencc,TR,5422,1,20000526,allocated
ripencc,TR,5458,1,20110817,allocated
ripencc,TR,5474,1,20060522,allocated
ripencc,TR,6205,1,19960111,allocated
ripencc,TR,6707,1,20090917,allocated
ripencc,TR,6822,1,19961107,allocated
ripencc,TR,6823,1,20110401,allocated
ripencc,TR,8363,1,19970630,allocated
ripencc,TR,8386,1,19970718,allocated
ripencc,TR,8456,1,19970903,allocated
ripencc,TR,8466,1,19970909,allocated
ripencc,TR,8467,1,19970909,allocated
ripencc,TR,8517,1,19971021,allocated
ripencc,TR,8589,1,20151014,allocated
ripencc,TR,8678,1,19980219,allocated
ripencc,TR,8685,1,19980226,allocated
ripencc,TR,8705,1,19980310,allocated
ripencc,TR,8721,1,19980320,allocated
ripencc,TR,8831,1,20000703,allocated
ripencc,TR,8869,1,19980703,allocated
ripencc,TR,8947,1,20040212,allocated
ripencc,TR,9000,1,19981006,allocated
ripencc,TR,9021,1,19981026,allocated
ripencc,TR,9074,1,19981127,allocated
ripencc,TR,9095,1,19981211,allocated
ripencc,TR,9121,1,19981229,allocated
ripencc,TR,9215,1,20150930,allocated
ripencc,TR,12296,1,19990223,allocated
ripencc,TR,12444,1,20021023,allocated
ripencc,TR,12599,1,19990816,allocated
ripencc,TR,12729,1,19991014,allocated
ripencc,TR,12735,1,19991018,allocated
ripencc,TR,12777,1,19991105,allocated
ripencc,TR,12794,1,19991111,allocated
ripencc,TR,12840,1,19991206,allocated
ripencc,TR,12858,1,19991214,allocated
ripencc,TR,12861,1,19991214,allocated
ripencc,TR,12873,1,19991217,allocated
ripencc,TR,12891,1,19991224,allocated
ripencc,TR,12903,1,19991230,allocated
ripencc,TR,12908,1,19991230,allocated
ripencc,TR,12978,1,20000203,allocated
ripencc,TR,13102,1,20000320,allocated
ripencc,TR,13138,1,20000330,allocated
ripencc,TR,13204,1,20150916,allocated
ripencc,TR,13278,1,20021106,allocated
ripencc,TR,15460,1,20000706,allocated
ripencc,TR,15464,1,20000707,allocated
ripencc,TR,15656,1,20000904,allocated
ripencc,TR,15755,1,20001005,allocated
ripencc,TR,15819,1,20001019,allocated
ripencc,TR,15843,1,20001023,allocated
ripencc,TR,15897,1,20001030,allocated
ripencc,TR,15924,1,20001102,allocated
ripencc,TR,16135,1,20040421,allocated
ripencc,TR,20649,1,20010425,allocated
ripencc,TR,20864,1,20010621,allocated
ripencc,TR,20907,1,20010704,allocated
ripencc,TR,20967,1,20010713,allocated
ripencc,TR,20978,1,20010717,allocated
ripencc,TR,21245,1,20110331,allocated
ripencc,TR,24614,1,20020122,allocated
ripencc,TR,24667,1,20020212,allocated
ripencc,TR,24891,1,20020508,allocated
ripencc,TR,24922,1,20020523,allocated
ripencc,TR,24944,1,20020603,allocated
ripencc,TR,25145,1,20020807,allocated
ripencc,TR,25323,1,20021001,allocated
ripencc,TR,25566,1,20030114,allocated
ripencc,TR,25594,1,20030122,allocated
ripencc,TR,28746,1,20150612,allocated
ripencc,TR,28781,1,20030221,allocated
ripencc,TR,28865,1,20030321,allocated
ripencc,TR,28967,1,20030423,allocated
ripencc,TR,29060,1,20030522,allocated
ripencc,TR,29144,1,20061228,allocated
ripencc,TR,29189,1,20030624,allocated
ripencc,TR,29221,1,20030702,allocated
ripencc,TR,29262,1,20150602,allocated
ripencc,TR,29399,1,20030829,allocated
ripencc,TR,29434,1,20030908,allocated
ripencc,TR,29483,1,20150527,allocated
ripencc,TR,29549,1,20031008,allocated
ripencc,TR,30734,1,20031121,allocated
ripencc,TR,30758,1,20150522,allocated
ripencc,TR,30840,1,20031218,allocated
ripencc,TR,31085,1,20040224,allocated
ripencc,TR,31307,1,20040408,allocated
ripencc,TR,31471,1,20040525,allocated
ripencc,TR,31486,1,20150515,allocated
ripencc,TR,31541,1,20040609,allocated
ripencc,TR,31645,1,20040629,allocated
ripencc,TR,31654,1,20040702,allocated
ripencc,TR,31674,1,20040707,allocated
ripencc,TR,31689,1,20040714,allocated
ripencc,TR,31704,1,20040720,allocated
ripencc,TR,33830,1,20040811,allocated
ripencc,TR,33856,1,20150508,allocated
ripencc,TR,33910,1,20040903,allocated
ripencc,TR,33960,1,20040916,allocated
ripencc,TR,34104,1,20041026,allocated
ripencc,TR,34117,1,20041028,allocated
ripencc,TR,34162,1,20041109,allocated
ripencc,TR,34296,1,20041210,allocated
ripencc,TR,34388,1,20070822,allocated
ripencc,TR,34398,1,20050111,allocated
ripencc,TR,34403,1,20050111,allocated
ripencc,TR,34418,1,20050114,allocated
ripencc,TR,34476,1,20191127,allocated
ripencc,TR,34478,1,20050128,allocated
ripencc,TR,34593,1,20150417,allocated
ripencc,TR,34595,1,20050221,allocated
ripencc,TR,34619,1,20050228,allocated
ripencc,TR,34684,1,20050316,allocated
ripencc,TR,34736,1,20050329,allocated
ripencc,TR,34755,1,20050330,allocated
ripencc,TR,34828,1,20190927,allocated
ripencc,TR,34984,1,20050512,allocated
ripencc,TR,34987,1,20150413,allocated
ripencc,TR,34996,1,20050513,allocated
ripencc,TR,35079,1,20050531,allocated
ripencc,TR,35080,1,20050531,allocated
ripencc,TR,35185,1,20050620,allocated
ripencc,TR,35331,1,20050718,allocated
ripencc,TR,35367,1,20190919,allocated
ripencc,TR,35474,1,20050816,allocated
ripencc,TR,35509,1,20050824,allocated
ripencc,TR,38920,1,20051114,allocated
ripencc,TR,39095,1,20051213,allocated
ripencc,TR,39172,1,20051227,allocated
ripencc,TR,39253,1,20090126,allocated
ripencc,TR,39298,1,20060126,allocated
ripencc,TR,39582,1,20060321,allocated
ripencc,TR,39615,1,20171103,allocated
ripencc,TR,39841,1,20150305,allocated
ripencc,TR,40987,1,20171003,allocated
ripencc,TR,41077,1,20060609,allocated
ripencc,TR,41155,1,20210210,allocated
ripencc,TR,41296,1,20060719,allocated
ripencc,TR,41324,1,20060724,allocated
ripencc,TR,41417,1,20060816,allocated
