Registry,Country,ASN,Value,Date,Status
lacnic,TT,5639,1,19950718,allocated
lacnic,TT,11947,1,19990210,allocated
lacnic,TT,26317,1,20020821,allocated
lacnic,TT,27665,1,20030131,allocated
lacnic,TT,27789,1,20051003,allocated
lacnic,TT,27800,1,20051121,allocated
lacnic,TT,27924,1,20070822,allocated
lacnic,TT,28067,1,20090717,allocated
lacnic,TT,61478,1,20140805,allocated
lacnic,TT,263176,1,20130917,allocated
lacnic,TT,263222,1,20140409,allocated
lacnic,TT,264793,1,20161018,allocated
lacnic,TT,264811,1,20161115,allocated
lacnic,TT,266792,1,20180502,allocated
lacnic,TT,270040,1,20200624,allocated
lacnic,TT,274008,1,20241217,allocated
lacnic,TT,274045,1,20250211,allocated
