Registry,Country,ASN,Value,Date,Status
afrinic,TZ,12143,1,19990405,allocated
afrinic,TZ,22354,1,20010914,allocated
afrinic,TZ,31810,1,20031230,allocated
afrinic,TZ,32860,1,20040810,allocated
afrinic,TZ,33765,1,20090129,allocated
afrinic,TZ,33791,1,20050802,allocated
afrinic,TZ,36908,1,20060801,allocated
afrinic,TZ,36909,1,20060801,allocated
afrinic,TZ,36930,1,20061218,allocated
afrinic,TZ,36965,1,20070719,allocated
afrinic,TZ,37013,1,20080318,allocated
afrinic,TZ,37027,1,20080710,allocated
afrinic,TZ,37035,1,20080801,allocated
afrinic,TZ,37045,1,20080818,allocated
afrinic,TZ,37084,1,20090121,allocated
afrinic,TZ,37085,1,20090127,allocated
afrinic,TZ,37126,1,20090813,allocated
afrinic,TZ,37133,1,20090825,allocated
afrinic,TZ,37143,1,20090902,allocated
afrinic,TZ,37182,1,20100302,allocated
afrinic,TZ,37218,1,20100609,allocated
afrinic,TZ,37349,1,20110628,allocated
afrinic,TZ,37359,1,20110714,allocated
afrinic,TZ,37362,1,20110720,allocated
afrinic,TZ,37364,1,20110721,allocated
afrinic,TZ,37419,1,20120209,allocated
afrinic,TZ,37454,1,20120607,allocated
afrinic,TZ,37496,1,20120918,allocated
afrinic,TZ,37576,1,20130321,allocated
afrinic,TZ,37607,1,20130807,allocated
afrinic,TZ,37710,1,20150303,allocated
afrinic,TZ,37769,1,20160530,allocated
afrinic,TZ,37777,1,20180323,allocated
afrinic,TZ,37778,1,20180608,allocated
afrinic,TZ,37779,1,20180608,allocated
afrinic,TZ,327706,1,20140812,allocated
afrinic,TZ,327714,1,20131206,allocated
afrinic,TZ,327728,1,20140212,allocated
afrinic,TZ,327730,1,20140217,allocated
afrinic,TZ,327771,1,20140702,allocated
afrinic,TZ,327774,1,20140704,allocated
afrinic,TZ,327778,1,20140730,allocated
afrinic,TZ,327792,1,20140919,allocated
afrinic,TZ,327795,1,20140922,allocated
afrinic,TZ,327819,1,20141112,allocated
afrinic,TZ,327844,1,20150224,allocated
afrinic,TZ,327852,1,20150303,allocated
afrinic,TZ,327859,1,20150309,allocated
afrinic,TZ,327885,1,20150521,allocated
afrinic,TZ,327888,1,20150525,allocated
afrinic,TZ,327900,1,20150624,allocated
afrinic,TZ,327905,1,20150626,allocated
afrinic,TZ,327912,1,20150709,allocated
afrinic,TZ,328017,1,20160513,allocated
afrinic,TZ,328018,1,20160520,allocated
afrinic,TZ,328022,1,20160530,allocated
afrinic,TZ,328075,1,20160928,allocated
afrinic,TZ,328139,1,20170313,allocated
afrinic,TZ,328294,1,20180323,allocated
afrinic,TZ,328325,1,20180608,allocated
afrinic,TZ,328326,1,20180608,allocated
afrinic,TZ,328436,1,20190214,allocated
afrinic,TZ,328478,1,20190430,allocated
afrinic,TZ,328499,1,20190618,allocated
afrinic,TZ,328504,1,20190626,allocated
afrinic,TZ,328514,1,20190718,allocated
afrinic,TZ,328545,1,20190927,allocated
afrinic,TZ,328557,1,20191015,allocated
afrinic,TZ,328607,1,20200123,allocated
afrinic,TZ,328676,1,20200617,allocated
afrinic,TZ,328700,1,20200428,allocated
afrinic,TZ,328751,1,20201027,allocated
afrinic,TZ,328775,1,20201214,allocated
afrinic,TZ,328783,1,20210107,allocated
afrinic,TZ,328805,1,20210226,allocated
afrinic,TZ,328838,1,20210418,allocated
afrinic,TZ,328845,1,20210429,allocated
afrinic,TZ,328849,1,20210512,allocated
afrinic,TZ,328865,1,20210607,allocated
afrinic,TZ,328885,1,20210707,allocated
afrinic,TZ,328895,1,20210723,allocated
afrinic,TZ,328930,1,20210908,allocated
afrinic,TZ,328950,1,20211008,allocated
afrinic,TZ,328980,1,20211119,allocated
afrinic,TZ,329013,1,20220218,allocated
afrinic,TZ,329034,1,20220325,allocated
afrinic,TZ,329155,1,20221012,allocated
afrinic,TZ,329172,1,20221109,allocated
afrinic,TZ,329178,1,20221123,allocated
afrinic,TZ,329221,1,20230222,allocated
afrinic,TZ,329242,1,20230405,allocated
afrinic,TZ,329251,1,20230419,allocated
afrinic,TZ,329292,1,20230721,allocated
afrinic,TZ,329304,1,20230818,allocated
afrinic,TZ,329322,1,20230831,allocated
afrinic,TZ,329393,1,20240208,allocated
afrinic,TZ,329413,1,20240313,allocated
afrinic,TZ,329420,1,20240407,allocated
afrinic,TZ,329448,1,20240625,allocated
afrinic,TZ,329450,1,20240626,allocated
afrinic,TZ,329466,1,20240730,allocated
afrinic,TZ,329488,1,20240912,allocated
afrinic,TZ,329495,1,20240925,allocated
afrinic,TZ,329499,1,20241002,allocated
afrinic,TZ,329524,1,20250626,allocated
afrinic,TZ,329529,1,20250626,allocated
afrinic,TZ,329530,1,20250626,allocated
afrinic,TZ,329537,1,20250627,allocated
afrinic,TZ,329545,1,20250627,allocated
afrinic,TZ,329548,1,20250627,allocated
afrinic,TZ,329595,1,20250806,allocated
