Registry,Country,ASN,Value,Date,Status
ripencc,UA,2601,1,20151124,allocated
ripencc,UA,2864,1,20151119,allocated
ripencc,UA,3236,1,20151116,allocated
ripencc,UA,3254,1,19940919,allocated
ripencc,UA,3255,1,19940921,allocated
ripencc,UA,3261,1,19941018,allocated
ripencc,UA,3279,1,20151113,allocated
ripencc,UA,3319,1,19950222,allocated
ripencc,UA,3326,1,19950306,allocated
ripencc,UA,5380,1,19950614,allocated
ripencc,UA,5530,1,20090121,allocated
ripencc,UA,6698,1,20110927,allocated
ripencc,UA,6702,1,19960705,allocated
ripencc,UA,6703,1,19960705,allocated
ripencc,UA,6712,1,20080714,allocated
ripencc,UA,6723,1,20080410,allocated
ripencc,UA,6768,1,20091007,allocated
ripencc,UA,6807,1,19961030,allocated
ripencc,UA,6846,1,19961126,allocated
ripencc,UA,6849,1,19961129,allocated
ripencc,UA,6876,1,19961217,allocated
ripencc,UA,6877,1,19991129,allocated
ripencc,UA,6886,1,19970102,allocated
ripencc,UA,8192,1,19970203,allocated
ripencc,UA,8207,1,19970212,allocated
ripencc,UA,8258,1,19970406,allocated
ripencc,UA,8274,1,20151021,allocated
ripencc,UA,8343,1,19970611,allocated
ripencc,UA,8461,1,20021007,allocated
ripencc,UA,8494,1,20151015,allocated
ripencc,UA,8601,1,19971223,allocated
ripencc,UA,8647,1,20061010,allocated
ripencc,UA,8695,1,20151012,allocated
ripencc,UA,8719,1,19980320,allocated
ripencc,UA,8772,1,20091111,allocated
ripencc,UA,8779,1,19980507,allocated
ripencc,UA,8788,1,19980519,allocated
ripencc,UA,8811,1,20110929,allocated
ripencc,UA,8813,1,19980604,allocated
ripencc,UA,8856,1,19980626,allocated
ripencc,UA,8870,1,20070822,allocated
ripencc,UA,9131,1,20100705,allocated
ripencc,UA,9164,1,20110113,allocated
ripencc,UA,9202,1,19990216,allocated
ripencc,UA,9205,1,19990218,allocated
ripencc,UA,9213,1,19990219,allocated
ripencc,UA,12294,1,19990223,allocated
ripencc,UA,12397,1,20111020,allocated
ripencc,UA,12408,1,20031209,allocated
ripencc,UA,12421,1,19990511,allocated
ripencc,UA,12438,1,20100909,allocated
ripencc,UA,12530,1,19990702,allocated
ripencc,UA,12545,1,19990708,allocated
ripencc,UA,12548,1,19990709,allocated
ripencc,UA,12593,1,19990812,allocated
ripencc,UA,12639,1,20110921,allocated
ripencc,UA,12662,1,20110331,allocated
ripencc,UA,12687,1,19990928,allocated
ripencc,UA,12700,1,20080313,allocated
ripencc,UA,12706,1,19991005,allocated
ripencc,UA,12773,1,20020930,allocated
ripencc,UA,12788,1,19991109,allocated
ripencc,UA,12803,1,20091204,allocated
ripencc,UA,12837,1,19991203,allocated
ripencc,UA,12883,1,19991222,allocated
ripencc,UA,12933,1,20000112,allocated
ripencc,UA,12963,1,20000127,allocated
ripencc,UA,12986,1,20000210,allocated
ripencc,UA,12998,1,20000215,allocated
ripencc,UA,13023,1,20000221,allocated
ripencc,UA,13027,1,20000222,allocated
ripencc,UA,13032,1,20000223,allocated
ripencc,UA,13053,1,20000302,allocated
ripencc,UA,13103,1,20000320,allocated
ripencc,UA,13107,1,20000321,allocated
ripencc,UA,13121,1,20000324,allocated
ripencc,UA,13188,1,20000427,allocated
ripencc,UA,13202,1,20000503,allocated
ripencc,UA,13249,1,20000516,allocated
ripencc,UA,13252,1,20090220,allocated
ripencc,UA,13281,1,20091008,allocated
