Registry,Country,ASN,Value,Date,Status
afrinic,UG,20294,1,20090928,allocated
ripencc,UG,21491,1,20011231,allocated
afrinic,UG,23549,1,20090928,allocated
ripencc,UG,29032,1,20030514,allocated
ripencc,UG,29039,1,20030516,allocated
afrinic,UG,36876,1,20051102,allocated
afrinic,UG,36901,1,20060428,allocated
afrinic,UG,36977,1,20140213,allocated
afrinic,UG,36991,1,20071204,allocated
afrinic,UG,36997,1,20071228,allocated
afrinic,UG,37063,1,20081023,allocated
afrinic,UG,37075,1,20081125,allocated
afrinic,UG,37113,1,20090707,allocated
afrinic,UG,37206,1,20100422,allocated
afrinic,UG,37273,1,20101104,allocated
afrinic,UG,37386,1,20111018,allocated
afrinic,UG,37408,1,20111221,allocated
afrinic,UG,37610,1,20130816,allocated
afrinic,UG,37679,1,20130712,allocated
afrinic,UG,37683,1,20130718,allocated
afrinic,UG,37689,1,20131127,allocated
afrinic,UG,327687,1,20090715,allocated
afrinic,UG,327724,1,20140129,allocated
afrinic,UG,327727,1,20140207,allocated
afrinic,UG,328015,1,20160510,allocated
afrinic,UG,328102,1,20161116,allocated
afrinic,UG,328118,1,20210728,allocated
afrinic,UG,328198,1,20170724,allocated
afrinic,UG,328233,1,20171009,allocated
afrinic,UG,328292,1,20180321,allocated
afrinic,UG,328358,1,20180828,allocated
afrinic,UG,328408,1,20181128,allocated
afrinic,UG,328462,1,20190403,allocated
afrinic,UG,328616,1,20200214,allocated
afrinic,UG,328634,1,20200330,allocated
afrinic,UG,328707,1,20200722,allocated
afrinic,UG,328727,1,20200909,allocated
afrinic,UG,328754,1,20201030,allocated
afrinic,UG,328813,1,20210315,allocated
afrinic,UG,328821,1,20210324,allocated
afrinic,UG,328904,1,20210805,allocated
afrinic,UG,328939,1,20210922,allocated
afrinic,UG,328998,1,20220124,allocated
afrinic,UG,329000,1,20220125,allocated
afrinic,UG,329005,1,20220128,allocated
afrinic,UG,329128,1,20220909,allocated
afrinic,UG,329134,1,20220914,allocated
afrinic,UG,329137,1,20220922,allocated
afrinic,UG,329253,1,20230421,allocated
afrinic,UG,329374,1,20231204,allocated
afrinic,UG,329377,1,20231205,allocated
afrinic,UG,329396,1,20240212,allocated
afrinic,UG,329415,1,20240320,allocated
afrinic,UG,329464,1,20240729,allocated
afrinic,UG,329531,1,20250626,allocated
afrinic,UG,329551,1,20250627,allocated
afrinic,UG,329569,1,20250707,allocated
