Registry,Country,ASN,Value,Date,Status
lacnic,UY,1797,1,19940414,allocated
lacnic,UY,6057,1,19951026,allocated
lacnic,UY,7167,1,19960926,allocated
lacnic,UY,14234,1,19991115,allocated
lacnic,UY,16772,1,20000607,allocated
lacnic,UY,17255,1,20000811,allocated
lacnic,UY,18579,1,20000914,allocated
lacnic,UY,18667,1,20000926,allocated
lacnic,UY,19422,1,20010104,allocated
lacnic,UY,20002,1,20010313,allocated
lacnic,UY,20255,1,20010413,allocated
lacnic,UY,27750,1,20040707,allocated
lacnic,UY,27848,1,20060824,allocated
lacnic,UY,27859,1,20061006,allocated
lacnic,UY,27913,1,20070716,allocated
lacnic,UY,27916,1,20070720,allocated
lacnic,UY,28000,1,20051005,allocated
lacnic,UY,28001,1,20080902,allocated
lacnic,UY,28002,1,20080714,allocated
lacnic,UY,28054,1,20090423,allocated
lacnic,UY,28119,1,20100211,allocated
lacnic,UY,52224,1,20100212,allocated
lacnic,UY,52241,1,20100426,allocated
lacnic,UY,52243,1,20100429,allocated
lacnic,UY,52266,1,20100712,allocated
lacnic,UY,52289,1,20101020,allocated
lacnic,UY,52366,1,20120316,allocated
lacnic,UY,61442,1,20140415,allocated
lacnic,UY,61447,1,20140701,allocated
lacnic,UY,61455,1,20140707,allocated
lacnic,UY,64135,1,20211202,allocated
lacnic,UY,64136,1,20211202,allocated
lacnic,UY,264665,1,20160114,allocated
lacnic,UY,264845,1,20161228,allocated
lacnic,UY,264846,1,20161228,allocated
lacnic,UY,266886,1,20180817,allocated
lacnic,UY,267718,1,20181113,allocated
lacnic,UY,273002,1,20230517,allocated
lacnic,UY,273004,1,20230519,allocated
lacnic,UY,273012,1,20230525,allocated
lacnic,UY,273047,1,20230727,allocated
lacnic,UY,273105,1,20231016,allocated
lacnic,UY,273115,1,20231030,allocated
lacnic,UY,273181,1,20240131,allocated
lacnic,UY,273854,1,20240617,allocated
lacnic,UY,273892,1,20240731,allocated
lacnic,UY,274012,1,20241219,allocated
