Registry,Country,ASN,Value,Date,Status
ripencc,UZ,8193,1,19970203,allocated
ripencc,UZ,12365,1,20021021,allocated
ripencc,UZ,21001,1,20150728,allocated
ripencc,UZ,25389,1,20021108,allocated
ripencc,UZ,28910,1,20030403,allocated
ripencc,UZ,29385,1,20030827,allocated
ripencc,UZ,30865,1,20031223,allocated
ripencc,UZ,31203,1,20040322,allocated
ripencc,UZ,31492,1,20040527,allocated
ripencc,UZ,34250,1,20041126,allocated
ripencc,UZ,34718,1,20050323,allocated
ripencc,UZ,35326,1,20190313,allocated
ripencc,UZ,35576,1,20190207,allocated
ripencc,UZ,35682,1,20190429,allocated
ripencc,UZ,39032,1,20051201,allocated
ripencc,UZ,39231,1,20110131,allocated
ripencc,UZ,39568,1,20171109,allocated
ripencc,UZ,41177,1,20170908,allocated
ripencc,UZ,41202,1,20060629,allocated
ripencc,UZ,42017,1,20061205,allocated
ripencc,UZ,43060,1,20070531,allocated
ripencc,UZ,43268,1,20180105,allocated
ripencc,UZ,43533,1,20110905,allocated
ripencc,UZ,43647,1,20191212,allocated
ripencc,UZ,47141,1,20080502,allocated
ripencc,UZ,47452,1,20080620,allocated
ripencc,UZ,47726,1,20200518,allocated
ripencc,UZ,47752,1,20080813,allocated
ripencc,UZ,47966,1,20161024,allocated
ripencc,UZ,48525,1,20230331,allocated
ripencc,UZ,48965,1,20200207,allocated
ripencc,UZ,48979,1,20090317,allocated
ripencc,UZ,49146,1,20090420,allocated
ripencc,UZ,49273,1,20090508,allocated
ripencc,UZ,49424,1,20220203,allocated
ripencc,UZ,49442,1,20160210,allocated
ripencc,UZ,49508,1,20230215,allocated
ripencc,UZ,49529,1,20090624,allocated
ripencc,UZ,50025,1,20091028,allocated
ripencc,UZ,50729,1,20100319,allocated
ripencc,UZ,50792,1,20221220,allocated
ripencc,UZ,51503,1,20170615,allocated
ripencc,UZ,51508,1,20230221,allocated
ripencc,UZ,56419,1,20210615,allocated
ripencc,UZ,56759,1,20110511,allocated
ripencc,UZ,57016,1,20110704,allocated
ripencc,UZ,57764,1,20120202,allocated
ripencc,UZ,57975,1,20220816,allocated
ripencc,UZ,58254,1,20120605,allocated
ripencc,UZ,58330,1,20180611,allocated
ripencc,UZ,59668,1,20120914,allocated
ripencc,UZ,59706,1,20240116,allocated
ripencc,UZ,61019,1,20130313,allocated
ripencc,UZ,61106,1,20230124,allocated
ripencc,UZ,61263,1,20210727,allocated
ripencc,UZ,62447,1,20230522,allocated
ripencc,UZ,64466,1,20160812,allocated
ripencc,UZ,197486,1,20101221,allocated
ripencc,UZ,197504,1,20230728,allocated
ripencc,UZ,197661,1,20230721,allocated
ripencc,UZ,197984,1,20230808,allocated
ripencc,UZ,198601,1,20230601,allocated
ripencc,UZ,199528,1,20230309,allocated
ripencc,UZ,199755,1,20230222,allocated
ripencc,UZ,200204,1,20230119,allocated
ripencc,UZ,200788,1,20180717,allocated
ripencc,UZ,201767,1,20140722,allocated
ripencc,UZ,201772,1,20140718,allocated
ripencc,UZ,202175,1,20140319,allocated
ripencc,UZ,202660,1,20160701,allocated
ripencc,UZ,202763,1,20220921,allocated
ripencc,UZ,203553,1,20220729,allocated
ripencc,UZ,204336,1,20180403,allocated
ripencc,UZ,205635,1,20250808,allocated
ripencc,UZ,205640,1,20170704,allocated
ripencc,UZ,205987,1,20250730,allocated
ripencc,UZ,206336,1,20250718,allocated
ripencc,UZ,207154,1,20220317,allocated
ripencc,UZ,208192,1,20250805,allocated
ripencc,UZ,208870,1,20220207,allocated
ripencc,UZ,209033,1,20190423,allocated
ripencc,UZ,209078,1,20190410,allocated
ripencc,UZ,209239,1,20190313,allocated
ripencc,UZ,209648,1,20181228,allocated
ripencc,UZ,210390,1,20211206,allocated
ripencc,UZ,210519,1,20211108,allocated
ripencc,UZ,210774,1,20210910,allocated
ripencc,UZ,211139,1,20250710,allocated
ripencc,UZ,211403,1,20210429,allocated
ripencc,UZ,211433,1,20210422,allocated
ripencc,UZ,211914,1,20210129,allocated
ripencc,UZ,212082,1,20201230,allocated
ripencc,UZ,212089,1,20201228,allocated
ripencc,UZ,212444,1,20211123,allocated
ripencc,UZ,212860,1,20200727,allocated
ripencc,UZ,213029,1,20220323,allocated
ripencc,UZ,213165,1,20250219,allocated
ripencc,UZ,213479,1,20250131,allocated
ripencc,UZ,213528,1,20250123,allocated
ripencc,UZ,213951,1,20241028,allocated
ripencc,UZ,213963,1,20241024,allocated
ripencc,UZ,214414,1,20240805,allocated
ripencc,UZ,214444,1,20240731,allocated
ripencc,UZ,214644,1,20240624,allocated
ripencc,UZ,214694,1,20240617,allocated
ripencc,UZ,214845,1,20240522,allocated
ripencc,UZ,215028,1,20250618,allocated
ripencc,UZ,215139,1,20240409,allocated
ripencc,UZ,215222,1,20240326,allocated
ripencc,UZ,215237,1,20250611,allocated
ripencc,UZ,215677,1,20240122,allocated
ripencc,UZ,215940,1,20240527,allocated
ripencc,UZ,216023,1,20250106,allocated
ripencc,UZ,216261,1,20230922,allocated
