Registry,Country,ASN,Value,Date,Status
lacnic,VE,3487,1,19940318,allocated
lacnic,VE,3496,1,19940323,allocated
lacnic,VE,3556,1,19940421,allocated
lacnic,VE,3636,1,19940601,allocated
lacnic,VE,4209,1,19950105,allocated
lacnic,VE,4535,1,19950418,allocated
lacnic,VE,4944,1,19950515,allocated
lacnic,VE,5005,1,19950315,allocated
lacnic,VE,6306,1,19960229,allocated
lacnic,VE,6545,1,19960828,allocated
lacnic,VE,7927,1,19970218,allocated
lacnic,VE,7965,1,19970306,allocated
lacnic,VE,8048,1,19970320,allocated
lacnic,VE,8053,1,19970325,allocated
lacnic,VE,8056,1,19970326,allocated
lacnic,VE,10293,1,19970613,allocated
lacnic,VE,10463,1,19971210,allocated
lacnic,VE,10624,1,19971006,allocated
lacnic,VE,11562,1,19981006,allocated
lacnic,VE,11694,1,19981118,allocated
lacnic,VE,12248,1,19990503,allocated
lacnic,VE,14231,1,19991111,allocated
lacnic,VE,14285,1,19991122,allocated
lacnic,VE,16607,1,20000525,allocated
lacnic,VE,17205,1,20000804,allocated
lacnic,VE,17287,1,20000816,allocated
lacnic,VE,19033,1,20001110,allocated
lacnic,VE,19192,1,20001204,allocated
lacnic,VE,20297,1,20010420,allocated
lacnic,VE,20312,1,20010420,allocated
lacnic,VE,21826,1,20010626,allocated
lacnic,VE,21980,1,20010720,allocated
lacnic,VE,22313,1,20010905,allocated
lacnic,VE,22726,1,20011112,allocated
lacnic,VE,23007,1,20011228,allocated
lacnic,VE,26194,1,20020722,allocated
lacnic,VE,27648,1,20021127,allocated
lacnic,VE,27686,1,20030507,allocated
lacnic,VE,27717,1,20030923,allocated
lacnic,VE,27771,1,20050602,allocated
lacnic,VE,27782,1,20050815,allocated
lacnic,VE,27794,1,20051107,allocated
lacnic,VE,27807,1,20060210,allocated
lacnic,VE,27808,1,20060210,allocated
lacnic,VE,27862,1,20061011,allocated
lacnic,VE,27872,1,20061130,allocated
lacnic,VE,27889,1,20070329,allocated
lacnic,VE,27890,1,20070419,allocated
lacnic,VE,27891,1,20070503,allocated
lacnic,VE,27892,1,20070713,allocated
lacnic,VE,27893,1,20071214,allocated
lacnic,VE,27957,1,20080131,allocated
lacnic,VE,28007,1,20081006,allocated
lacnic,VE,28012,1,20081023,allocated
lacnic,VE,28089,1,20091023,allocated
lacnic,VE,52281,1,20100913,allocated
lacnic,VE,52285,1,20101013,allocated
lacnic,VE,52358,1,20120117,allocated
lacnic,VE,52386,1,20120802,allocated
lacnic,VE,61461,1,20140715,allocated
lacnic,VE,61471,1,20140728,allocated
lacnic,VE,64164,1,20240729,allocated
lacnic,VE,262176,1,20110830,allocated
lacnic,VE,262180,1,20110902,allocated
lacnic,VE,262203,1,20111216,allocated
lacnic,VE,263180,1,20130926,allocated
lacnic,VE,263182,1,20131024,allocated
lacnic,VE,263223,1,20140425,allocated
lacnic,VE,263701,1,20141105,allocated
lacnic,VE,263703,1,20141113,allocated
lacnic,VE,263767,1,20150517,allocated
lacnic,VE,263771,1,20150526,allocated
lacnic,VE,263806,1,20150727,allocated
lacnic,VE,264628,1,20151125,allocated
lacnic,VE,264660,1,20160111,allocated
lacnic,VE,264731,1,20160713,allocated
lacnic,VE,264778,1,20160915,allocated
lacnic,VE,264837,1,20161220,allocated
lacnic,VE,264844,1,20161228,allocated
lacnic,VE,265633,1,20170126,allocated
lacnic,VE,265641,1,20170202,allocated
lacnic,VE,265717,1,20170515,allocated
lacnic,VE,266742,1,20180228,allocated
lacnic,VE,266751,1,20180309,allocated
lacnic,VE,266766,1,20180406,allocated
lacnic,VE,266809,1,20180522,allocated
lacnic,VE,266841,1,20180703,allocated
lacnic,VE,267693,1,20181001,allocated
lacnic,VE,267701,1,20181009,allocated
lacnic,VE,267722,1,20181119,allocated
lacnic,VE,267781,1,20190227,allocated
lacnic,VE,267783,1,20190228,allocated
lacnic,VE,267789,1,20190307,allocated
lacnic,VE,267809,1,20190326,allocated
lacnic,VE,267811,1,20190327,allocated
lacnic,VE,267813,1,20190328,allocated
lacnic,VE,267814,1,20190328,allocated
lacnic,VE,267840,1,20190426,allocated
lacnic,VE,267843,1,20190502,allocated
lacnic,VE,267888,1,20190607,allocated
lacnic,VE,267892,1,20190610,allocated
lacnic,VE,267923,1,20190703,allocated
lacnic,VE,269730,1,20190725,allocated
lacnic,VE,269732,1,20190726,allocated
lacnic,VE,269738,1,20190805,allocated
lacnic,VE,269741,1,20190805,allocated
lacnic,VE,269749,1,20190812,allocated
lacnic,VE,269750,1,20190813,allocated
lacnic,VE,269771,1,20190909,allocated
lacnic,VE,269775,1,20190910,allocated
lacnic,VE,269782,1,20190916,allocated
lacnic,VE,269788,1,20190924,allocated
lacnic,VE,269807,1,20191010,allocated
lacnic,VE,269820,1,20191022,allocated
lacnic,VE,269827,1,20191031,allocated
lacnic,VE,269829,1,20191031,allocated
lacnic,VE,269832,1,20191105,allocated
lacnic,VE,269846,1,20191122,allocated
lacnic,VE,269859,1,20191202,allocated
lacnic,VE,269876,1,20191213,allocated
lacnic,VE,269879,1,20191217,allocated
