Registry,Country,ASN,Value,Date,Status
ripencc,VG,9142,1,19990108,allocated
arin,VG,14694,1,20180806,assigned
arin,VG,22069,1,20110125,assigned
arin,VG,22160,1,20250618,assigned
arin,VG,23511,1,20241115,assigned
arin,VG,25824,1,20230213,assigned
arin,VG,32242,1,20180417,assigned
arin,VG,33229,1,20200708,assigned
arin,VG,36158,1,20050920,assigned
arin,VG,40034,1,20110411,assigned
ripencc,VG,44907,1,20141124,allocated
ripencc,VG,44918,1,20210209,allocated
arin,VG,46088,1,20231122,assigned
ripencc,VG,47191,1,20231003,allocated
ripencc,VG,47804,1,20080825,allocated
ripencc,VG,48095,1,20141120,allocated
ripencc,VG,51910,1,20101129,allocated
arin,VG,54299,1,20111212,assigned
ripencc,VG,56647,1,20160614,allocated
ripencc,VG,58143,1,20120514,allocated
ripencc,VG,59454,1,20120713,allocated
ripencc,VG,59930,1,20140805,allocated
ripencc,VG,60239,1,20130828,allocated
ripencc,VG,62014,1,20140324,allocated
ripencc,VG,62041,1,20140307,allocated
ripencc,VG,197730,1,20230718,allocated
ripencc,VG,199925,1,20230210,allocated
ripencc,VG,200313,1,20180808,allocated
ripencc,VG,200612,1,20150522,allocated
ripencc,VG,201196,1,20141224,allocated
ripencc,VG,201775,1,20221028,allocated
ripencc,VG,202826,1,20160525,allocated
ripencc,VG,205556,1,20170724,allocated
ripencc,VG,208361,1,20190820,allocated
ripencc,VG,209929,1,20181108,allocated
ripencc,VG,211157,1,20210616,allocated
ripencc,VG,214916,1,20250619,allocated
ripencc,VG,215725,1,20240112,allocated
arin,VG,393430,1,20220927,assigned
arin,VG,395692,1,20161115,assigned
arin,VG,396357,1,20170518,assigned
arin,VG,397636,1,20190611,assigned
arin,VG,398273,1,20200207,assigned
arin,VG,401348,1,20240923,assigned
arin,VG,401383,1,20241007,assigned
arin,VG,401753,1,20250605,assigned
