Registry,Country,ASN,Value,Date,Status
apnic,VN,7552,1,20021008,allocated
apnic,VN,7602,1,20030828,allocated
apnic,VN,7643,1,19971014,allocated
apnic,VN,18403,1,20030103,allocated
apnic,VN,23707,1,20030407,allocated
apnic,VN,23899,1,20030923,allocated
apnic,VN,23902,1,20030926,allocated
apnic,VN,23914,1,20031022,allocated
apnic,VN,23962,1,20031126,allocated
apnic,VN,23999,1,20040120,allocated
apnic,VN,24035,1,20040316,allocated
apnic,VN,24050,1,20040408,allocated
apnic,VN,24066,1,20040526,allocated
apnic,VN,24085,5,20040622,allocated
apnic,VN,24173,5,20051014,allocated
apnic,VN,38244,10,20061004,allocated
apnic,VN,38725,15,20070914,allocated
apnic,VN,45538,20,20081126,allocated
apnic,VN,45894,10,20090828,allocated
apnic,VN,55305,20,20091202,allocated
apnic,VN,56141,1,20151230,allocated
apnic,VN,56142,12,20110317,allocated
apnic,VN,56154,1,20150914,allocated
apnic,VN,56155,3,20151123,allocated
apnic,VN,56158,3,20151209,allocated
apnic,VN,63730,3,20151230,allocated
apnic,VN,63733,37,20140825,allocated
apnic,VN,131122,10,20080812,allocated
apnic,VN,131342,94,20110624,allocated
apnic,VN,131436,1,20150914,allocated
apnic,VN,131437,1,20150930,allocated
apnic,VN,131438,2,20151014,allocated
apnic,VN,131440,1,20151023,allocated
apnic,VN,131441,1,20151123,allocated
apnic,VN,133935,1,20250429,allocated
apnic,VN,134481,1,20250429,allocated
apnic,VN,135665,1,20250123,allocated
apnic,VN,135900,100,20161115,allocated
apnic,VN,137463,1,20250520,allocated
apnic,VN,137892,1,20241121,allocated
apnic,VN,139772,1,20241231,allocated
apnic,VN,139796,1,20250619,allocated
apnic,VN,140737,100,20200617,allocated
apnic,VN,142277,1,20250619,allocated
apnic,VN,142284,1,20250619,allocated
apnic,VN,142294,1,20241015,allocated
apnic,VN,142549,1,20250619,allocated
apnic,VN,149062,100,20211203,allocated
apnic,VN,150813,100,20230110,allocated
apnic,VN,151677,1,20250210,allocated
apnic,VN,151851,100,20231009,allocated
apnic,VN,152933,100,20240624,allocated
apnic,VN,153320,1,20240906,allocated
apnic,VN,153341,1,20240924,allocated
apnic,VN,153352,1,20241002,allocated
apnic,VN,153353,1,20241003,allocated
apnic,VN,153380,1,20241024,allocated
apnic,VN,153391,1,20241101,allocated
apnic,VN,153401,31,20241111,allocated
apnic,VN,153433,18,20241111,allocated
apnic,VN,153498,10,20250108,allocated
apnic,VN,153532,1,20250121,allocated
apnic,VN,153534,3,20250120,allocated
apnic,VN,153539,6,20250120,allocated
apnic,VN,153585,2,20250210,allocated
apnic,VN,153591,2,20250211,allocated
apnic,VN,153616,2,20250218,allocated
apnic,VN,153635,1,20250226,allocated
apnic,VN,153647,1,20250304,allocated
apnic,VN,153649,5,20250304,allocated
apnic,VN,153683,1,20250310,allocated
apnic,VN,153713,1,20250319,allocated
apnic,VN,153732,1,20250324,allocated
apnic,VN,153741,1,20250327,allocated
apnic,VN,153743,1,20250327,allocated
apnic,VN,153750,1,20250401,allocated
apnic,VN,153752,1,20250402,allocated
apnic,VN,153762,2,20250408,allocated
apnic,VN,153780,1,20250414,allocated
apnic,VN,153808,1,20250422,allocated
apnic,VN,153828,4,20250426,allocated
apnic,VN,153859,2,20250505,allocated
apnic,VN,153872,2,20250507,allocated
apnic,VN,153941,1,20250602,allocated
apnic,VN,153958,2,20250609,allocated
apnic,VN,153976,1,20250616,allocated
apnic,VN,153982,2,20250619,allocated
apnic,VN,154003,2,20250630,allocated
apnic,VN,154016,2,20250702,allocated
apnic,VN,154042,1,20250709,allocated
apnic,VN,154053,1,20250714,allocated
ripencc,VN,200250,1,20230104,allocated
ripencc,VN,202602,1,20220929,allocated
ripencc,VN,209988,1,20221003,allocated
ripencc,VN,211017,1,20250328,allocated
ripencc,VN,213443,1,20250210,allocated
