Registry,Country,ASN,Value,Date,Status
apnic,VU,9249,1,20020925,allocated
apnic,VU,23959,1,20180613,allocated
ripencc,VU,43357,1,20180529,allocated
apnic,VU,45495,1,20081024,allocated
apnic,VU,45935,1,20091016,allocated
apnic,VU,131166,1,20140814,allocated
apnic,VU,132228,1,20120330,allocated
apnic,VU,132254,1,20160812,allocated
apnic,VU,132429,1,20120924,allocated
apnic,VU,132548,1,20130108,allocated
apnic,VU,132797,1,20130424,allocated
apnic,VU,133383,1,20140219,allocated
apnic,VU,136949,1,20170831,allocated
apnic,VU,136996,1,20170928,allocated
