Registry,Country,ASN,Value,Date,Status
afrinic,ZA,1228,1,19910301,allocated
afrinic,ZA,1229,1,19910301,allocated
afrinic,ZA,1230,1,19910301,allocated
afrinic,ZA,1231,1,19910301,allocated
afrinic,ZA,1232,1,19910301,allocated
afrinic,ZA,2018,1,20010307,allocated
afrinic,ZA,2905,1,19930910,allocated
afrinic,ZA,3067,1,19931029,allocated
afrinic,ZA,3068,1,19931029,allocated
afrinic,ZA,3741,1,19940801,allocated
afrinic,ZA,4178,1,20120307,allocated
afrinic,ZA,4571,1,20010626,allocated
afrinic,ZA,5713,1,19950906,allocated
afrinic,ZA,5734,1,19950913,allocated
afrinic,ZA,6083,1,19951108,allocated
afrinic,ZA,6089,1,20151211,allocated
afrinic,ZA,6149,1,20010307,allocated
afrinic,ZA,6180,1,19951221,allocated
afrinic,ZA,6187,1,19840101,allocated
afrinic,ZA,6351,1,20151211,allocated
afrinic,ZA,6529,1,19960517,allocated
afrinic,ZA,6560,1,19960523,allocated
afrinic,ZA,6968,1,19960710,allocated
afrinic,ZA,7020,1,19960730,allocated
afrinic,ZA,7154,1,19960923,allocated
afrinic,ZA,7231,1,19961014,allocated
afrinic,ZA,7390,1,19961127,allocated
afrinic,ZA,7460,1,19961218,allocated
afrinic,ZA,7971,1,19970307,allocated
afrinic,ZA,7972,1,19970307,allocated
afrinic,ZA,8094,1,19970409,allocated
afrinic,ZA,9129,1,20070920,allocated
afrinic,ZA,10247,1,19970523,allocated
afrinic,ZA,10262,1,19970528,allocated
afrinic,ZA,10331,1,20110815,allocated
afrinic,ZA,10393,1,20151211,allocated
afrinic,ZA,10474,1,20151211,allocated
afrinic,ZA,10505,1,19970828,allocated
afrinic,ZA,10540,1,19970909,allocated
afrinic,ZA,10575,1,19970919,allocated
afrinic,ZA,10798,1,19971201,allocated
afrinic,ZA,10898,1,19971219,allocated
afrinic,ZA,11125,1,19980417,allocated
afrinic,ZA,11157,1,19980429,allocated
afrinic,ZA,11569,1,19981007,allocated
afrinic,ZA,11645,1,19981102,allocated
afrinic,ZA,11744,1,19981204,allocated
afrinic,ZA,11845,1,19990114,allocated
afrinic,ZA,12091,1,20020621,allocated
afrinic,ZA,12258,1,20151211,allocated
afrinic,ZA,13854,1,19990827,allocated
afrinic,ZA,14115,1,19991022,allocated
afrinic,ZA,14331,1,19991130,allocated
afrinic,ZA,14516,1,19991228,allocated
afrinic,ZA,15022,1,20000309,allocated
afrinic,ZA,16637,1,20070920,allocated
afrinic,ZA,16800,1,20000612,allocated
afrinic,ZA,17148,1,20000731,allocated
afrinic,ZA,18931,1,20001030,allocated
afrinic,ZA,19232,1,20001206,allocated
afrinic,ZA,19832,1,19971016,allocated
afrinic,ZA,20011,1,20010314,allocated
afrinic,ZA,21739,1,20140124,allocated
afrinic,ZA,22355,1,20010914,allocated
afrinic,ZA,22386,1,20010920,allocated
afrinic,ZA,22572,1,20011016,allocated
afrinic,ZA,22750,1,20011115,allocated
afrinic,ZA,23058,1,20020110,allocated
afrinic,ZA,24788,1,20070920,allocated
afrinic,ZA,25726,1,20140116,allocated
afrinic,ZA,25793,1,20150505,allocated
afrinic,ZA,25818,1,20100210,allocated
afrinic,ZA,26106,1,20020708,allocated
afrinic,ZA,26422,1,20020915,allocated
afrinic,ZA,27598,1,20070920,allocated
afrinic,ZA,28698,1,20070920,allocated
afrinic,ZA,29918,1,20030609,allocated
afrinic,ZA,29975,1,20030618,allocated
afrinic,ZA,32437,1,20040503,allocated
afrinic,ZA,32653,1,20040623,allocated
afrinic,ZA,32714,1,20040708,allocated
afrinic,ZA,33579,1,20050126,allocated
afrinic,ZA,33762,1,20040929,allocated
afrinic,ZA,33766,1,20050119,allocated
afrinic,ZA,33769,1,20050131,allocated
ripencc,ZA,34672,1,20050314,allocated
ripencc,ZA,35624,1,20190128,allocated
ripencc,ZA,35830,1,20181120,allocated
afrinic,ZA,36874,1,20051025,allocated
afrinic,ZA,36875,1,20051031,allocated
afrinic,ZA,36889,1,20060131,allocated
afrinic,ZA,36898,1,20120810,allocated
afrinic,ZA,36910,1,20141110,allocated
afrinic,ZA,36916,1,20060928,allocated
afrinic,ZA,36937,1,20070222,allocated
afrinic,ZA,36943,1,20180924,allocated
afrinic,ZA,36951,1,20070518,allocated
afrinic,ZA,36953,1,20070521,allocated
afrinic,ZA,36960,1,20070710,allocated
afrinic,ZA,36968,1,20070809,allocated
afrinic,ZA,36980,1,20071004,allocated
afrinic,ZA,36982,1,20071017,allocated
afrinic,ZA,36983,1,20071023,allocated
afrinic,ZA,36985,1,20071105,allocated
afrinic,ZA,36994,1,20071213,allocated
afrinic,ZA,37007,1,20080219,allocated
afrinic,ZA,37016,1,20080401,allocated
afrinic,ZA,37017,1,20180918,allocated
afrinic,ZA,37028,1,20080716,allocated
afrinic,ZA,37049,1,20080821,allocated
afrinic,ZA,37053,1,20080917,allocated
afrinic,ZA,37055,1,20080923,allocated
afrinic,ZA,37060,1,20080930,allocated
afrinic,ZA,37070,1,20081112,allocated
afrinic,ZA,37072,1,20100210,allocated
afrinic,ZA,37078,1,20081218,allocated
afrinic,ZA,37105,1,20090615,allocated
afrinic,ZA,37114,1,20090709,allocated
afrinic,ZA,37116,1,20090717,allocated
afrinic,ZA,37118,1,20090721,allocated
afrinic,ZA,37121,1,20151209,allocated
afrinic,ZA,37130,1,20090821,allocated
afrinic,ZA,37137,1,20090827,allocated
afrinic,ZA,37138,1,20090827,allocated
afrinic,ZA,37145,1,20090904,allocated
afrinic,ZA,37150,1,20091012,allocated
afrinic,ZA,37153,1,20091026,allocated
afrinic,ZA,37157,1,20091124,allocated
afrinic,ZA,37159,1,20091125,allocated
afrinic,ZA,37160,1,20091207,allocated
afrinic,ZA,37167,1,20100120,allocated
afrinic,ZA,37168,1,20100129,allocated
afrinic,ZA,37172,1,20100205,allocated
afrinic,ZA,37173,1,20100209,allocated
afrinic,ZA,37175,1,20100211,allocated
afrinic,ZA,37179,1,20100218,allocated
afrinic,ZA,37180,1,20100222,allocated
afrinic,ZA,37186,1,20100315,allocated
afrinic,ZA,37188,1,20100322,allocated
afrinic,ZA,37195,1,20100401,allocated
afrinic,ZA,37199,1,20100412,allocated
afrinic,ZA,37225,1,20100619,allocated
afrinic,ZA,37231,1,20100701,allocated
afrinic,ZA,37235,1,20100709,allocated
afrinic,ZA,37236,1,20100712,allocated
afrinic,ZA,37239,1,20100716,allocated
afrinic,ZA,37251,1,20100819,allocated
afrinic,ZA,37253,1,20160129,allocated
afrinic,ZA,37254,1,20100827,allocated
afrinic,ZA,37266,1,20101008,allocated
afrinic,ZA,37271,1,20101025,allocated
afrinic,ZA,37275,1,20101111,allocated
afrinic,ZA,37276,1,20101115,allocated
afrinic,ZA,37277,1,20101115,allocated
afrinic,ZA,37302,1,20110315,allocated
afrinic,ZA,37310,1,20110325,allocated
afrinic,ZA,37311,1,20110329,allocated
afrinic,ZA,37312,1,20110330,allocated
afrinic,ZA,37314,1,20110406,allocated
afrinic,ZA,37315,1,20110412,allocated
afrinic,ZA,37316,1,20110415,allocated
afrinic,ZA,37317,1,20181012,allocated
afrinic,ZA,37333,1,20110523,allocated
afrinic,ZA,37334,1,20110525,allocated
afrinic,ZA,37352,1,20130802,allocated
afrinic,ZA,37353,1,20110707,allocated
afrinic,ZA,37356,1,20110712,allocated
afrinic,ZA,37357,1,20110713,allocated
afrinic,ZA,37358,1,20110713,allocated
afrinic,ZA,37363,1,20110721,allocated
afrinic,ZA,37368,1,20110815,allocated
afrinic,ZA,37387,1,20111019,allocated
afrinic,ZA,37394,1,20111116,allocated
afrinic,ZA,37399,1,20111124,allocated
afrinic,ZA,37402,1,20111208,allocated
afrinic,ZA,37403,1,20111208,allocated
afrinic,ZA,37411,1,20120119,allocated
afrinic,ZA,37412,1,20120120,allocated
afrinic,ZA,37413,1,20120120,allocated
afrinic,ZA,37417,1,20120203,allocated
afrinic,ZA,37428,1,20120307,allocated
afrinic,ZA,37438,1,20120401,allocated
afrinic,ZA,37439,1,20120412,allocated
afrinic,ZA,37441,1,20120423,allocated
afrinic,ZA,37457,1,20120612,allocated
afrinic,ZA,37459,1,20120613,allocated
afrinic,ZA,37474,1,20120710,allocated
afrinic,ZA,37479,1,20120713,allocated
afrinic,ZA,37482,1,20120724,allocated
afrinic,ZA,37484,1,20120724,allocated
afrinic,ZA,37488,1,20120803,allocated
afrinic,ZA,37491,1,20120814,allocated
afrinic,ZA,37497,1,20120921,allocated
afrinic,ZA,37501,1,20121001,allocated
afrinic,ZA,37511,1,20121030,allocated
afrinic,ZA,37515,1,20121106,allocated
afrinic,ZA,37519,1,20121116,allocated
afrinic,ZA,37520,1,20121112,allocated
afrinic,ZA,37523,1,20121120,allocated
afrinic,ZA,37525,1,20121121,allocated
afrinic,ZA,37527,1,20121123,allocated
afrinic,ZA,37542,1,20130107,allocated
afrinic,ZA,37546,1,20130121,allocated
afrinic,ZA,37549,1,20130129,allocated
afrinic,ZA,37561,1,20130219,allocated
afrinic,ZA,37564,1,20130223,allocated
afrinic,ZA,37589,1,20130412,allocated
afrinic,ZA,37596,1,20130516,allocated
afrinic,ZA,37597,1,20130517,allocated
afrinic,ZA,37599,1,20130517,allocated
afrinic,ZA,37611,1,20130820,allocated
afrinic,ZA,37618,1,20130912,allocated
afrinic,ZA,37621,1,20130916,allocated
afrinic,ZA,37627,1,20130920,allocated
afrinic,ZA,37628,1,20130926,allocated
afrinic,ZA,37630,1,20130930,allocated
afrinic,ZA,37634,1,20130930,allocated
afrinic,ZA,37639,1,20131015,allocated
afrinic,ZA,37640,1,20131016,allocated
afrinic,ZA,37650,1,20131106,allocated
afrinic,ZA,37652,1,20131106,allocated
afrinic,ZA,37653,1,20131106,allocated
afrinic,ZA,37656,1,20131112,allocated
afrinic,ZA,37658,1,20131118,allocated
afrinic,ZA,37663,1,20110926,allocated
afrinic,ZA,37667,1,20130606,allocated
afrinic,ZA,37668,1,20110926,allocated
afrinic,ZA,37670,1,20130620,allocated
afrinic,ZA,37673,1,20130624,allocated
afrinic,ZA,37675,1,20130627,allocated
afrinic,ZA,37680,1,20130715,allocated
afrinic,ZA,37691,1,20131128,allocated
afrinic,ZA,37692,1,20131219,allocated
afrinic,ZA,37699,1,20140523,allocated
afrinic,ZA,37700,1,20140523,allocated
afrinic,ZA,37701,1,20140523,allocated
afrinic,ZA,37720,1,20180528,allocated
afrinic,ZA,37724,1,20200706,allocated
afrinic,ZA,37731,1,20220519,allocated
afrinic,ZA,37735,1,20230328,allocated
afrinic,ZA,37739,1,20240209,allocated
ripencc,ZA,41033,1,20180105,allocated
ripencc,ZA,43444,1,20181019,allocated
ripencc,ZA,44167,1,20161124,allocated
ripencc,ZA,56453,1,20160616,allocated
ripencc,ZA,56708,1,20190531,allocated
ripencc,ZA,59870,1,20140826,allocated
ripencc,ZA,61092,1,20141211,allocated
apnic,ZA,134384,1,20150715,allocated
ripencc,ZA,204300,1,20180406,allocated
ripencc,ZA,208809,1,20250508,allocated
ripencc,ZA,209167,1,20190325,allocated
ripencc,ZA,210555,1,20211029,allocated
ripencc,ZA,211869,1,20210204,allocated
ripencc,ZA,213481,1,20250131,allocated
ripencc,ZA,214146,1,20240924,allocated
ripencc,ZA,214209,1,20240912,allocated
ripencc,ZA,214564,1,20240709,allocated
ripencc,ZA,216409,1,20230824,allocated
afrinic,ZA,327683,1,20070515,allocated
afrinic,ZA,327685,1,20081112,allocated
afrinic,ZA,327688,1,20090922,allocated
afrinic,ZA,327693,1,20130820,allocated
afrinic,ZA,327698,1,20110107,allocated
afrinic,ZA,327701,1,20110127,allocated
afrinic,ZA,327703,1,20140820,allocated
afrinic,ZA,327715,1,20131209,allocated
afrinic,ZA,327726,1,20140207,allocated
afrinic,ZA,327733,1,20140221,allocated
afrinic,ZA,327737,1,20140313,allocated
