Registry,Country,ASN,Value,Date,Status
afrinic,ZM,7420,1,19961206,allocated
afrinic,ZM,36959,1,20070702,allocated
afrinic,ZM,36962,1,20070716,allocated
afrinic,ZM,37146,1,20090914,allocated
afrinic,ZM,37154,1,20091108,allocated
afrinic,ZM,37185,1,20140919,allocated
afrinic,ZM,37221,1,20100614,allocated
afrinic,ZM,37287,1,20101217,allocated
afrinic,ZM,37374,1,20110908,allocated
afrinic,ZM,37532,1,20121129,allocated
afrinic,ZM,37569,1,20130304,allocated
afrinic,ZM,37792,1,20220720,allocated
afrinic,ZM,327904,1,20150626,allocated
afrinic,ZM,328194,1,20170720,allocated
afrinic,ZM,328420,1,20190118,allocated
afrinic,ZM,328427,1,20190131,allocated
afrinic,ZM,328570,1,20191111,allocated
afrinic,ZM,328646,1,20200424,allocated
afrinic,ZM,328665,1,20200529,allocated
afrinic,ZM,328817,1,20210319,allocated
afrinic,ZM,329025,1,20220317,allocated
afrinic,ZM,329105,1,20220720,allocated
afrinic,ZM,329383,1,20231228,allocated
afrinic,ZM,329444,1,20240618,allocated
