Registry,Country,ASN,Value,Date,Status
afrinic,ZW,18922,1,20001027,allocated
afrinic,ZW,27576,1,20030403,allocated
afrinic,ZW,31856,1,20120307,allocated
afrinic,ZW,36986,1,20071106,allocated
afrinic,ZW,37024,1,20120307,allocated
afrinic,ZW,37123,1,20090731,allocated
afrinic,ZW,37183,1,20100305,allocated
afrinic,ZW,37184,1,20100309,allocated
afrinic,ZW,37189,1,20120307,allocated
afrinic,ZW,37204,1,20100416,allocated
afrinic,ZW,37329,1,20110510,allocated
afrinic,ZW,37332,1,20110523,allocated
afrinic,ZW,37344,1,20110606,allocated
afrinic,ZW,37355,1,20110707,allocated
afrinic,ZW,37391,1,20111107,allocated
afrinic,ZW,37485,1,20120730,allocated
afrinic,ZW,37568,1,20130227,allocated
ripencc,ZW,207184,1,20250606,allocated
afrinic,ZW,327770,1,20140624,allocated
afrinic,ZW,327863,1,20150316,allocated
afrinic,ZW,327971,1,20160128,allocated
afrinic,ZW,328088,1,20161025,allocated
afrinic,ZW,328230,1,20170929,allocated
afrinic,ZW,328235,1,20171013,allocated
afrinic,ZW,328269,1,20180124,allocated
afrinic,ZW,328291,1,20180319,allocated
afrinic,ZW,329006,1,20220128,allocated
afrinic,ZW,329232,1,20230314,allocated
afrinic,ZW,329271,1,20230606,allocated
afrinic,ZW,329376,1,20231205,allocated
afrinic,ZW,329425,1,20240422,allocated
afrinic,ZW,329540,1,20250627,allocated
