Registry,Country,ASN,Value,Date,Status
afrinic,ZA,1228,1,19910301,allocated
afrinic,ZA,1229,1,19910301,allocated
afrinic,ZA,1230,1,19910301,allocated
afrinic,ZA,1231,1,19910301,allocated
afrinic,ZA,1232,1,19910301,allocated
afrinic,ZA,2018,1,20010307,allocated
afrinic,EG,2561,1,20070920,allocated
afrinic,ZA,2905,1,19930910,allocated
afrinic,ZA,3067,1,19931029,allocated
afrinic,ZA,3068,1,19931029,allocated
afrinic,DZ,3208,1,20090928,allocated
afrinic,ZA,3741,1,19940801,allocated
afrinic,ZA,4178,1,20120307,allocated
afrinic,ZA,4571,1,20010626,allocated
afrinic,MU,5536,1,20231122,allocated
afrinic,ZA,5713,1,19950906,allocated
afrinic,ZA,5734,1,19950913,allocated
afrinic,ZA,6083,1,19951108,allocated
afrinic,ZA,6089,1,20151211,allocated
afrinic,EG,6127,1,20070920,allocated
afrinic,ZA,6149,1,20010307,allocated
afrinic,ZA,6180,1,19951221,allocated
afrinic,ZA,6187,1,19840101,allocated
afrinic,ZA,6351,1,20151211,allocated
afrinic,ZA,6529,1,19960517,allocated
afrinic,ZA,6560,1,19960523,allocated
afrinic,MA,6713,1,20070920,allocated
afrinic,EG,6879,1,19961216,allocated
afrinic,ZA,6968,1,19960710,allocated
afrinic,ZA,7020,1,19960730,allocated
afrinic,ZA,7154,1,19960923,allocated
afrinic,ZA,7231,1,19961014,allocated
afrinic,ZA,7390,1,19961127,allocated
afrinic,ZM,7420,1,19961206,allocated
afrinic,ZA,7460,1,19961218,allocated
afrinic,ZA,7971,1,19970307,allocated
afrinic,ZA,7972,1,19970307,allocated
afrinic,ZA,8094,1,19970409,allocated
afrinic,EG,8524,1,20070920,allocated
afrinic,ZA,9129,1,20070920,allocated
afrinic,ZA,10247,1,19970523,allocated
afrinic,ZA,10262,1,19970528,allocated
afrinic,ZA,10331,1,20110815,allocated
afrinic,ZA,10393,1,20151211,allocated
afrinic,ZA,10474,1,20151211,allocated
afrinic,ZA,10505,1,19970828,allocated
afrinic,ZA,10540,1,19970909,allocated
afrinic,ZA,10575,1,19970919,allocated
afrinic,ZA,10798,1,19971201,allocated
afrinic,ZA,10898,1,19971219,allocated
afrinic,ZA,11125,1,19980417,allocated
afrinic,ZA,11157,1,19980429,allocated
afrinic,AO,11259,1,19980604,allocated
afrinic,ZA,11569,1,19981007,allocated
afrinic,ZA,11645,1,19981102,allocated
afrinic,ZA,11744,1,19981204,allocated
afrinic,ZA,11845,1,19990114,allocated
afrinic,ZA,12091,1,20020621,allocated
afrinic,TZ,12143,1,19990405,allocated
afrinic,ZA,12258,1,20151211,allocated
afrinic,KE,12455,1,20070917,allocated
afrinic,KE,12556,1,20090115,allocated
afrinic,ZA,13854,1,19990827,allocated
afrinic,ZA,14115,1,19991022,allocated
afrinic,ZA,14331,1,19991130,allocated
afrinic,ZA,14516,1,19991228,allocated
afrinic,BW,14988,1,20000302,allocated
afrinic,ZA,15022,1,20000309,allocated
afrinic,KE,15399,1,20070919,allocated
afrinic,EG,15475,1,20070921,allocated
afrinic,SD,15706,1,20070919,allocated
afrinic,GH,15825,1,20070919,allocated
afrinic,CM,15964,1,20070920,allocated
afrinic,GA,16058,1,20070920,allocated
afrinic,DZ,16214,1,20071226,allocated
afrinic,NG,16284,1,20070920,allocated
afrinic,ZA,16637,1,20070920,allocated
afrinic,ZA,16800,1,20000612,allocated
afrinic,KE,16907,1,20070927,allocated
afrinic,ZA,17148,1,20000731,allocated
afrinic,AO,17400,1,20000828,allocated
afrinic,MU,17652,1,20041105,allocated
afrinic,ZW,18922,1,20001027,allocated
afrinic,ZA,18931,1,20001030,allocated
afrinic,ZA,19232,1,20001206,allocated
afrinic,MU,19676,1,20150202,allocated
afrinic,SZ,19711,1,20101124,allocated
afrinic,ZA,19832,1,19971016,allocated
afrinic,ZA,20011,1,20010314,allocated
afrinic,SC,20180,1,20140402,allocated
afrinic,UG,20294,1,20090928,allocated
afrinic,NA,20459,1,20010510,allocated
afrinic,EG,20858,1,20070920,allocated
afrinic,EG,20928,1,20070920,allocated
afrinic,LY,21003,1,20090125,allocated
afrinic,SC,21242,1,20131224,allocated
afrinic,ML,21271,1,20070920,allocated
afrinic,MU,21280,1,20150202,allocated
afrinic,DZ,21391,1,20070920,allocated
afrinic,ZA,21739,1,20140124,allocated
afrinic,TZ,22354,1,20010914,allocated
afrinic,ZA,22355,1,20010914,allocated
afrinic,ZA,22386,1,20010920,allocated
afrinic,ZA,22572,1,20011016,allocated
afrinic,RW,22690,1,20131202,allocated
afrinic,NA,22735,1,20130211,allocated
afrinic,ZA,22750,1,20011115,allocated
afrinic,ZA,23058,1,20020110,allocated
afrinic,UG,23549,1,20090928,allocated
afrinic,MU,23889,1,20040910,allocated
afrinic,EG,24736,1,20070920,allocated
afrinic,ET,24757,1,20070920,allocated
afrinic,ZA,24788,1,20070920,allocated
afrinic,EG,24835,1,20070920,allocated
afrinic,EG,24863,1,20070920,allocated
afrinic,EG,24878,1,20070920,allocated
afrinic,EG,24987,1,20070920,allocated
afrinic,NG,25163,1,20201111,allocated
afrinic,GM,25250,1,20070920,allocated
afrinic,EG,25364,1,20070920,allocated
afrinic,BF,25543,1,20070920,allocated
afrinic,EG,25576,1,20070920,allocated
afrinic,LS,25695,1,20020419,allocated
afrinic,ZA,25726,1,20140116,allocated
afrinic,ZA,25793,1,20150505,allocated
afrinic,ZA,25818,1,20100210,allocated
afrinic,ZA,26106,1,20020708,allocated
afrinic,NE,26130,1,20131129,allocated
afrinic,ZA,26422,1,20020915,allocated
afrinic,ZW,27576,1,20030403,allocated
afrinic,ZA,27598,1,20070920,allocated
afrinic,BJ,28683,1,20100311,allocated
afrinic,ZA,28698,1,20070920,allocated
afrinic,NG,29091,1,20070920,allocated
afrinic,GH,29340,1,20090114,allocated
afrinic,EG,29428,1,20070920,allocated
afrinic,MR,29544,1,20120621,allocated
afrinic,CI,29571,1,20171229,allocated
afrinic,GH,29614,1,20070920,allocated
afrinic,GH,29674,1,20070920,allocated
afrinic,ZA,29918,1,20030609,allocated
afrinic,ZA,29975,1,20030618,allocated
afrinic,MZ,30619,1,20241114,allocated
afrinic,KE,30896,1,20090928,allocated
afrinic,TG,30982,1,20140124,allocated
afrinic,MA,30983,1,20040521,allocated
afrinic,NG,30984,1,20050125,allocated
afrinic,ML,30985,1,20040609,allocated
afrinic,GH,30986,1,20040614,allocated
afrinic,ER,30987,1,20040621,allocated
afrinic,NG,30988,1,20040701,allocated
afrinic,DJ,30990,1,20040908,allocated
afrinic,CM,30992,1,20100212,allocated
afrinic,EG,30993,1,20041222,allocated
afrinic,KE,30994,1,20050124,allocated
afrinic,EG,30995,1,20050202,allocated
afrinic,GH,30997,1,20050308,allocated
afrinic,NG,30998,1,20050309,allocated
afrinic,MU,30999,1,20050322,allocated
afrinic,EG,31065,1,20070920,allocated
afrinic,TN,31245,1,20070920,allocated
afrinic,EG,31619,1,20070920,allocated
afrinic,TZ,31810,1,20031230,allocated
afrinic,ZW,31856,1,20120307,allocated
afrinic,MZ,31960,1,20040130,allocated
afrinic,MZ,32017,1,20040210,allocated
afrinic,BW,32279,1,20050915,allocated
afrinic,SZ,32398,1,20040427,allocated
afrinic,ZA,32437,1,20040503,allocated
afrinic,ZA,32653,1,20040623,allocated
afrinic,ZA,32714,1,20040708,allocated
afrinic,AO,32717,1,20040709,allocated
afrinic,TZ,32860,1,20040810,allocated
afrinic,LS,33567,1,20050124,allocated
afrinic,ZA,33579,1,20050126,allocated
afrinic,ZA,33762,1,20040929,allocated
afrinic,MU,33763,1,20041029,allocated
afrinic,MU,33764,1,20041102,allocated
afrinic,TZ,33765,1,20090129,allocated
afrinic,ZA,33766,1,20050119,allocated
afrinic,LS,33767,1,20050125,allocated
afrinic,MU,33768,1,20050127,allocated
afrinic,ZA,33769,1,20050131,allocated
afrinic,KE,33770,1,20050324,allocated
afrinic,KE,33771,1,20050411,allocated
afrinic,MW,33773,1,20050504,allocated
afrinic,DZ,33774,1,20050506,allocated
afrinic,EG,33777,1,20091118,allocated
afrinic,EG,33778,1,20050606,allocated
afrinic,DZ,33779,1,20050608,allocated
afrinic,BW,33781,1,20050706,allocated
afrinic,EG,33782,1,20050711,allocated
afrinic,EG,33785,1,20050714,allocated
afrinic,GH,33786,1,20050725,allocated
afrinic,SD,33788,1,20100216,allocated
afrinic,EG,33789,1,20050725,allocated
afrinic,TZ,33791,1,20050802,allocated
afrinic,ML,36864,1,20050808,allocated
afrinic,MZ,36865,1,20050808,allocated
afrinic,KE,36866,1,20050809,allocated
afrinic,SC,36867,1,20050818,allocated
afrinic,MU,36868,1,20160229,allocated
afrinic,EG,36870,1,20050829,allocated
afrinic,MU,36871,1,20051004,allocated
afrinic,NG,36872,1,20130531,allocated
afrinic,NG,36873,1,20051024,allocated
afrinic,ZA,36874,1,20051025,allocated
afrinic,ZA,36875,1,20051031,allocated
afrinic,UG,36876,1,20051102,allocated
afrinic,MU,36877,1,20051109,allocated
afrinic,AO,36881,1,20051207,allocated
afrinic,MA,36884,1,20071228,allocated
afrinic,EG,36885,1,20060104,allocated
afrinic,ZA,36889,1,20060131,allocated
afrinic,RW,36890,1,20060206,allocated
afrinic,DZ,36891,1,20060214,allocated
afrinic,SS,36892,1,20150713,allocated
afrinic,MU,36894,1,20060313,allocated
afrinic,ZA,36898,1,20120810,allocated
afrinic,UG,36901,1,20060428,allocated
afrinic,SC,36902,1,20060504,allocated
afrinic,MA,36903,1,20060523,allocated
afrinic,KE,36904,1,20121005,allocated
afrinic,CM,36905,1,20060601,allocated
afrinic,EG,36906,1,20060607,allocated
afrinic,AO,36907,1,20060609,allocated
afrinic,TZ,36908,1,20060801,allocated
afrinic,TZ,36909,1,20060801,allocated
afrinic,ZA,36910,1,20141110,allocated
afrinic,CM,36912,1,20060808,allocated
afrinic,MW,36913,1,20151029,allocated
afrinic,KE,36914,1,20060915,allocated
afrinic,KE,36915,1,20080312,allocated
afrinic,ZA,36916,1,20060928,allocated
afrinic,AO,36917,1,20061012,allocated
afrinic,NG,36920,1,20061031,allocated
afrinic,NG,36922,1,20061115,allocated
afrinic,NG,36923,1,20061115,allocated
afrinic,CI,36924,1,20160620,allocated
afrinic,MA,36925,1,20061128,allocated
afrinic,KE,36926,1,20061204,allocated
afrinic,EG,36929,1,20061213,allocated
afrinic,TZ,36930,1,20061218,allocated
afrinic,NG,36932,1,20070116,allocated
afrinic,NG,36933,1,20070122,allocated
afrinic,RW,36934,1,20190226,allocated
afrinic,EG,36935,1,20070202,allocated
afrinic,AO,36936,1,20121217,allocated
afrinic,ZA,36937,1,20070222,allocated
afrinic,NG,36938,1,20120612,allocated
afrinic,KM,36939,1,20070319,allocated
afrinic,NG,36940,1,20160816,allocated
afrinic,MA,36941,1,20070327,allocated
afrinic,MU,36942,1,20150202,allocated
afrinic,ZA,36943,1,20180924,allocated
afrinic,MW,36944,1,20070420,allocated
afrinic,MZ,36945,1,20070423,allocated
afrinic,CI,36946,1,20070424,allocated
afrinic,DZ,36947,1,20070427,allocated
afrinic,KE,36948,1,20070427,allocated
afrinic,ZA,36951,1,20070518,allocated
afrinic,ZA,36953,1,20070521,allocated
afrinic,CM,36955,1,20201029,allocated
afrinic,MA,36956,1,20070606,allocated
afrinic,NG,36957,1,20070626,allocated
afrinic,SC,36958,1,20070628,allocated
afrinic,ZM,36959,1,20070702,allocated
afrinic,ZA,36960,1,20070710,allocated
afrinic,ZM,36962,1,20070716,allocated
afrinic,BW,36963,1,20070717,allocated
afrinic,TZ,36965,1,20070719,allocated
afrinic,KE,36967,1,20070806,allocated
afrinic,ZA,36968,1,20070809,allocated
afrinic,MW,36969,1,20070810,allocated
afrinic,NG,36970,1,20070822,allocated
afrinic,EG,36971,1,20070824,allocated
afrinic,SD,36972,1,20090113,allocated
