Registry,Country,ASN,Value,Date,Status
apnic,JP,173,1,20020801,allocated
apnic,NZ,681,1,20020801,allocated
apnic,SG,963,1,20220622,allocated
apnic,SG,997,1,20220628,allocated
apnic,AU,1221,1,20000131,allocated
apnic,JP,1233,1,20020801,allocated
apnic,KR,1237,1,20020801,allocated
apnic,SG,1250,1,20020801,allocated
apnic,TW,1659,1,20020801,allocated
apnic,KR,1704,1,20020801,allocated
apnic,TW,1768,2,20020801,allocated
apnic,KR,1781,1,20020801,allocated
apnic,AU,1851,1,20020801,allocated
apnic,HK,2042,1,20161013,allocated
apnic,AU,2144,1,20020801,allocated
apnic,KR,2385,1,20020801,allocated
apnic,JP,2497,32,20020405,allocated
apnic,NZ,2537,1,20020801,allocated
apnic,JP,2554,1,20020801,allocated
apnic,KR,2563,1,20020801,allocated
apnic,NZ,2569,2,20020801,allocated
apnic,IN,2697,1,20020801,allocated
apnic,HK,2706,1,20030514,allocated
apnic,AU,2713,1,20020801,allocated
apnic,NZ,2756,1,20020801,allocated
apnic,AU,2764,1,20020801,allocated
apnic,HK,2772,1,20100720,allocated
apnic,AU,2823,1,20020801,allocated
apnic,JP,2907,1,20020801,allocated
apnic,JP,2915,1,20020801,allocated
apnic,NZ,2925,2,20020801,allocated
apnic,SG,3119,1,19931117,allocated
apnic,KR,3357,1,20020801,allocated
apnic,HK,3363,1,20031124,allocated
apnic,ID,3382,1,20020801,allocated
apnic,JP,3391,1,20020801,allocated
apnic,AU,3395,1,20020801,allocated
apnic,CN,3460,1,20020801,allocated
apnic,TW,3462,1,20020801,allocated
apnic,JP,3488,1,20020801,allocated
apnic,JP,3510,1,20020801,allocated
apnic,PH,3550,1,20020801,allocated
apnic,AU,3558,1,20020801,allocated
apnic,KR,3559,1,20020801,allocated
apnic,ID,3583,1,20020801,allocated
apnic,GU,3605,1,20020801,allocated
apnic,KR,3608,1,20020801,allocated
apnic,HK,3661,1,20020801,allocated
apnic,HK,3662,1,20020801,allocated
apnic,HK,3689,5,20100720,allocated
apnic,NZ,3711,1,20020801,allocated
apnic,CN,3717,1,20020801,allocated
apnic,NZ,3747,1,20020801,allocated
apnic,KR,3748,1,20020801,allocated
apnic,KR,3757,1,20020801,allocated
apnic,SG,3758,1,20020801,allocated
apnic,NZ,3773,1,20020801,allocated
apnic,JP,3775,1,20020801,allocated
apnic,KR,3784,1,20020801,allocated
apnic,KR,3786,1,20020801,allocated
apnic,NZ,3787,1,20020801,allocated
apnic,KR,3813,1,20020801,allocated
apnic,KR,3825,1,20020801,allocated
apnic,TH,3836,1,20020801,allocated
apnic,TH,3839,1,20020801,allocated
apnic,AU,3840,1,20020801,allocated
apnic,NZ,3929,1,20020801,allocated
apnic,IN,3969,1,20020801,allocated
apnic,KR,3976,1,20020801,allocated
apnic,NP,4007,1,20041213,allocated
apnic,KR,4040,1,20020801,allocated
apnic,NZ,4049,1,20020801,allocated
apnic,HK,4058,1,20020801,allocated
apnic,KR,4060,1,20020801,allocated
apnic,CN,4134,1,20020801,allocated
apnic,HK,4142,1,20020801,allocated
apnic,HK,4158,1,20020801,allocated
apnic,AU,4174,2,20020801,allocated
apnic,AU,4197,1,20230713,allocated
apnic,KR,4202,1,20020801,allocated
apnic,JP,4251,1,20020801,allocated
apnic,TH,4274,1,20020801,allocated
apnic,SG,4352,1,20061121,allocated
apnic,AU,4381,1,20020801,allocated
apnic,ID,4382,1,20020801,allocated
apnic,HK,4431,1,20020801,allocated
apnic,AU,4433,1,20020801,allocated
apnic,ID,4434,1,20020801,allocated
apnic,HK,4515,1,20020801,allocated
apnic,HK,4528,1,20040130,allocated
apnic,CN,4538,1,20020801,allocated
apnic,HK,4594,1,20020801,allocated
apnic,HK,4605,1,20020801,allocated
apnic,AU,4608,1,19950530,allocated
apnic,MO,4609,1,19950615,allocated
apnic,NZ,4610,1,20150904,allocated
apnic,CN,4611,1,19950930,allocated
apnic,HK,4612,1,19950930,allocated
apnic,NP,4613,1,19950611,allocated
apnic,HK,4614,1,19950704,allocated
apnic,PK,4615,1,19950629,allocated
apnic,HK,4616,1,19950707,allocated
apnic,BN,4617,1,19950731,allocated
apnic,TH,4618,1,19950810,allocated
apnic,HK,4619,1,19950811,allocated
apnic,SG,4620,1,20240701,allocated
apnic,TH,4621,1,19950816,allocated
apnic,ID,4622,1,19941221,allocated
apnic,HK,4623,1,19950818,allocated
apnic,HK,4624,1,19950805,allocated
apnic,HK,4625,1,19950905,allocated
apnic,HK,4626,1,19950908,allocated
apnic,HK,4627,1,19950819,allocated
apnic,SG,4628,1,19950912,allocated
apnic,JP,4629,1,19950912,allocated
apnic,HK,4630,1,19950925,allocated
apnic,SG,4631,1,20031008,allocated
apnic,AU,4632,1,19950912,allocated
apnic,HK,4633,1,19950925,allocated
apnic,MY,4634,1,20250624,allocated
apnic,HK,4635,1,19951020,allocated
apnic,TW,4636,1,19951030,allocated
apnic,HK,4637,1,19951030,allocated
apnic,FJ,4638,1,19951026,allocated
apnic,HK,4639,1,19951030,allocated
apnic,HK,4640,1,19951108,allocated
apnic,HK,4641,1,19951124,allocated
apnic,HK,4642,1,19951130,allocated
apnic,AU,4643,1,20031106,allocated
apnic,HK,4644,1,19951206,allocated
apnic,HK,4645,1,19951207,allocated
apnic,HK,4646,1,20160104,allocated
apnic,AU,4647,1,20110701,allocated
apnic,NZ,4648,1,19951110,allocated
apnic,HK,4649,1,19951224,allocated
apnic,HK,4650,1,19951121,allocated
apnic,TH,4651,2,19951227,allocated
apnic,AU,4653,1,20110705,allocated
apnic,HK,4654,1,19951224,allocated
apnic,HK,4655,1,19960109,allocated
apnic,HK,4656,1,19960113,allocated
apnic,SG,4657,1,19960118,allocated
apnic,HK,4658,1,19951224,allocated
apnic,CN,4659,1,19960206,allocated
apnic,KR,4660,1,19960222,allocated
apnic,PK,4661,1,20071108,allocated
apnic,TW,4662,1,19960201,allocated
apnic,KR,4663,1,19951228,allocated
apnic,KR,4664,1,19951226,allocated
apnic,KR,4665,1,20041217,allocated
apnic,KR,4666,1,19951028,allocated
apnic,NZ,4667,1,20070808,allocated
apnic,KR,4668,1,19950921,allocated
apnic,KR,4669,1,19951004,allocated
apnic,KR,4670,1,19950616,allocated
apnic,KR,4671,1,19950530,allocated
apnic,JP,4672,10,19950830,allocated
apnic,PH,4682,1,19950830,allocated
apnic,JP,4683,53,19950830,allocated
apnic,AU,4736,1,19951023,allocated
apnic,AU,4737,1,19960202,allocated
apnic,AU,4738,1,19960202,allocated
apnic,AU,4739,1,19960212,allocated
apnic,AU,4740,1,19960222,allocated
apnic,TH,4741,1,19960710,allocated
apnic,AU,4742,1,19960307,allocated
apnic,AU,4744,1,19960312,allocated
apnic,KR,4745,1,19960308,allocated
apnic,HK,4746,1,19960319,allocated
apnic,TW,4747,1,19960319,allocated
apnic,HK,4748,1,19960319,allocated
apnic,AU,4749,1,20070809,allocated
apnic,TH,4750,1,19960321,allocated
apnic,CN,4751,1,20031107,allocated
apnic,AU,4752,1,19960415,allocated
apnic,KR,4753,1,19960417,allocated
apnic,IN,4754,1,20080206,allocated
apnic,IN,4755,1,19960513,allocated
apnic,KR,4756,1,19960517,allocated
apnic,KR,4757,1,19960527,allocated
apnic,IN,4758,1,20100408,allocated
apnic,PH,4759,1,19960607,allocated
apnic,HK,4760,1,19960612,allocated
apnic,ID,4761,1,19960716,allocated
apnic,TH,4762,1,19960726,allocated
apnic,NZ,4763,1,19960726,allocated
apnic,AU,4764,1,20040122,allocated
apnic,SG,4765,1,20030115,allocated
apnic,KR,4766,1,19960422,allocated
apnic,TH,4767,1,19960228,allocated
apnic,NZ,4768,1,19980709,allocated
apnic,MY,4769,1,20040517,allocated
apnic,NZ,4770,1,20010330,allocated
apnic,NZ,4771,1,19960104,allocated
apnic,SG,4773,1,20050110,allocated
apnic,JP,4774,1,19960228,allocated
apnic,PH,4775,1,19960809,allocated
apnic,TH,4776,1,19960904,allocated
apnic,JP,4777,1,19960809,allocated
apnic,AU,4778,1,20031008,allocated
apnic,PH,4779,1,20030611,allocated
apnic,TW,4780,4,19960709,allocated
apnic,TH,4784,1,19960913,allocated
apnic,JP,4785,1,20180222,allocated
apnic,AU,4786,1,20100524,allocated
apnic,ID,4787,1,19961015,allocated
apnic,MY,4788,1,19961020,allocated
apnic,CN,4789,1,19961028,allocated
apnic,KR,4790,4,19961008,allocated
apnic,AU,4794,1,19961029,allocated
apnic,ID,4796,1,19961106,allocated
apnic,IN,4797,1,20030828,allocated
apnic,CN,4798,1,19960223,allocated
apnic,CN,4799,1,19960104,allocated
apnic,ID,4800,1,19961225,allocated
apnic,AU,4801,1,20160708,allocated
apnic,AU,4802,1,19961118,allocated
apnic,HK,4803,1,20220919,allocated
apnic,AU,4804,1,19961107,allocated
apnic,AU,4805,1,19961106,allocated
apnic,AU,4806,2,19961025,allocated
apnic,CN,4808,1,19960109,allocated
apnic,CN,4809,2,19960109,allocated
apnic,CN,4811,1,19990512,allocated
apnic,CN,4812,2,19960109,allocated
apnic,CN,4814,1,19960109,allocated
apnic,CN,4815,2,19960109,allocated
apnic,SG,4817,1,20011130,allocated
apnic,MY,4818,1,20011207,allocated
apnic,AU,4819,1,20100406,allocated
apnic,AU,4820,1,20011211,allocated
apnic,ID,4821,1,20011211,allocated
apnic,AU,4822,1,20011217,allocated
apnic,TH,4823,1,20011217,allocated
apnic,AU,4824,1,20011220,allocated
apnic,AU,4825,1,20050614,allocated
apnic,AU,4826,1,20011224,allocated
apnic,TH,4827,1,20011227,allocated
apnic,HK,4828,1,20011231,allocated
apnic,AU,4829,1,20050906,allocated
apnic,NZ,4830,1,20010612,allocated
apnic,NZ,4831,1,20040812,allocated
apnic,ID,4832,2,20010613,allocated
apnic,NZ,4834,1,20010614,allocated
apnic,CN,4835,1,20010913,allocated
apnic,SG,4836,1,20010913,allocated
apnic,CN,4837,1,20010917,allocated
apnic,AU,4838,1,20050727,allocated
apnic,CN,4839,2,20010919,allocated
apnic,AU,4841,1,20100908,allocated
apnic,CN,4842,1,20190614,allocated
apnic,CN,4843,1,20010924,allocated
apnic,SG,4844,1,20010925,allocated
apnic,TW,4845,1,20010925,allocated
apnic,CN,4847,1,19960910,allocated
apnic,HK,4848,1,19951015,allocated
apnic,HK,4849,1,19960219,allocated
apnic,MN,4850,1,20060418,allocated
apnic,AU,4851,1,20050111,allocated
apnic,AU,4852,1,19960731,allocated
apnic,AU,4853,1,20050909,allocated
apnic,AU,4854,1,19960814,allocated
apnic,ID,4855,1,19961203,allocated
apnic,TH,4856,1,19961204,allocated
apnic,AU,4857,1,20091110,allocated
apnic,AU,4858,1,20070322,allocated
apnic,CN,4859,1,19961219,allocated
apnic,AU,4860,1,19961206,allocated
apnic,KR,4861,1,19961206,allocated
apnic,HK,4862,1,19961206,allocated
apnic,PH,4863,1,19950707,allocated
apnic,BD,4864,1,20160413,allocated
apnic,KI,4865,1,20160415,allocated
apnic,HK,4899,1,20090924,allocated
apnic,SG,4907,1,20200917,allocated
apnic,KR,4961,1,20020801,allocated
apnic,HK,5017,2,20100720,allocated
apnic,KR,5051,1,20020801,allocated
apnic,HK,5085,1,20020801,allocated
apnic,LK,5087,1,20020801,allocated
apnic,NZ,5709,1,20020801,allocated
apnic,KR,6068,1,20020801,allocated
apnic,PH,6163,1,20160718,allocated
apnic,AU,6262,1,20020801,allocated
apnic,KR,6619,1,20020801,allocated
apnic,PH,6648,1,20020801,allocated
apnic,MP,7131,1,20020801,allocated
apnic,AU,7175,1,20020801,allocated
apnic,SG,7387,1,19961127,allocated
apnic,AU,7467,1,20020923,allocated
apnic,HK,7468,1,19970106,allocated
apnic,TH,7470,1,19970107,allocated
apnic,AU,7471,1,20040123,allocated
apnic,SG,7472,1,19970120,allocated
apnic,SG,7473,1,19970122,allocated
apnic,AU,7474,1,19970203,allocated
apnic,AU,7475,2,19970211,allocated
apnic,AU,7477,1,19970211,allocated
apnic,TW,7478,1,19970212,allocated
apnic,HK,7479,1,19970220,allocated
apnic,TW,7481,3,19970217,allocated
apnic,HK,7484,1,19970225,allocated
apnic,TH,7485,1,19970226,allocated
apnic,AU,7486,1,19970227,allocated
apnic,IN,7487,1,20070504,allocated
apnic,US,7488,1,20230728,allocated
apnic,HK,7489,1,20151223,allocated
apnic,AU,7490,1,20160715,allocated
apnic,PH,7491,1,19970312,allocated
apnic,AU,7492,1,20181224,allocated
apnic,HK,7493,1,19970318,allocated
apnic,IN,7494,1,20230921,allocated
apnic,PH,7495,1,19970324,allocated
apnic,AU,7496,1,19970325,allocated
apnic,CN,7497,1,19970408,allocated
apnic,AU,7498,1,19970410,allocated
apnic,HK,7499,1,19970411,allocated
apnic,JP,7500,32,19970303,allocated
apnic,TW,7532,8,19970322,allocated
apnic,HK,7540,1,19970414,allocated
apnic,TW,7541,1,19970417,allocated
apnic,AU,7542,1,19970422,allocated
apnic,ID,7543,1,19970422,allocated
apnic,PH,7544,1,20090813,allocated
apnic,AU,7545,1,19970425,allocated
apnic,AU,7546,1,20070727,allocated
apnic,CN,7547,2,19970502,allocated
apnic,CN,7549,1,19970506,allocated
apnic,AU,7550,1,20021004,allocated
apnic,AU,7551,1,20090402,allocated
apnic,VN,7552,1,20021008,allocated
apnic,AU,7553,1,20021008,allocated
apnic,AU,7554,1,20021009,allocated
apnic,AU,7555,1,19970509,allocated
apnic,AU,7556,1,19970509,allocated
apnic,KR,7557,8,19970513,allocated
apnic,BD,7565,1,20080501,allocated
apnic,AU,7566,1,20161018,allocated
apnic,AU,7567,1,19970521,allocated
apnic,TH,7568,1,19970523,allocated
apnic,AU,7569,7,19970528,allocated
apnic,CN,7576,1,19970529,allocated
apnic,HK,7577,1,19970604,allocated
apnic,AU,7578,1,20070810,allocated
apnic,AU,7579,2,19970604,allocated
apnic,HK,7581,1,19970609,allocated
apnic,MO,7582,1,20050411,allocated
apnic,AU,7583,1,20070802,allocated
apnic,NZ,7584,1,20060922,allocated
apnic,AU,7585,1,20050616,allocated
apnic,CN,7586,1,20211128,allocated
apnic,ID,7587,1,19970701,allocated
apnic,TH,7588,1,19970701,allocated
apnic,SE,7589,1,19970701,allocated
apnic,PK,7590,1,19970701,allocated
apnic,AU,7591,2,19970708,allocated
apnic,IN,7593,1,20160721,allocated
apnic,AU,7594,1,20061129,allocated
apnic,SG,7595,1,20070803,allocated
apnic,TH,7596,1,19970716,allocated
apnic,ID,7597,1,19970717,allocated
apnic,AU,7598,1,20070315,allocated
apnic,NZ,7599,1,20070903,allocated
apnic,AU,7600,2,19970806,allocated
apnic,VN,7602,1,20030828,allocated
apnic,JP,7603,1,20211202,allocated
apnic,AU,7604,1,19970811,allocated
apnic,PK,7605,1,20211213,allocated
apnic,AU,7606,1,19970819,allocated
apnic,SG,7607,1,20241125,allocated
apnic,AU,7608,1,19970819,allocated
apnic,CN,7609,1,20211223,allocated
apnic,SG,7610,1,19970821,allocated
